result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,
1,google,Donald Trump,Home | Donald J. Trump for President,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,989000000,n/a,n/a
2,google,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,Candidate for President of the United States,,,
3,google,Donald Trump,Donald Trump - CNBC - CNBC.com,https://www.cnbc.com/donald-trump/,Oil prices drop as hopes for US-China trade progress wilt ... President Donald Trump's administration gave the green light last week to start approving licences ...,989000000,n/a,n/a
4,google,Donald Trump,Donald Trump - HuffPost,https://www.huffpost.com/news/topic/donald-trump,Catch up on the latest news on Donald Trump. Including photos,,,
5,google,Donald Trump,Donald Trump news,,,,,
6,google,Donald Trump,Donald Trump - U.S. Presidency,,,,,
7,google,Donald Trump,Donald Trump Fast Facts - CNN,https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html,Read CNN's Donald Trump Fast Facts to learn more about the 45th president of the United States.,989000000,5 days ago ,1570263333
8,google,Donald Trump,Donald Trump is a clueless commander in chief (opinion) - CNN,https://www.cnn.com/2019/10/09/opinions/donald-trump-is-a-clueless-commander-in-chief-bergen/index.html,Trump's bungled pull-out from Syria,,,
9,google,Donald Trump,Donald Trump: The Latest News,,,,,
10,google,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump/,Donald J. Trump,,,
11,google,Donald Trump,Donald Trump News & Videos - ABC News - ABC News,https://abcnews.go.com/alerts/donald-trump,Follow the latest Donald Trump news stories and headlines. Get breaking news alerts when you download the ABC News App and subscribe to Donald Trump ...,989000000,n/a,n/a
12,google,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,For first time,,,
13,google,Donald Trump,Trump,,,,,
14,google,Donald Trump,Live updates: The latest on the Trump impeachment inquiry ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-09-2019/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,989000000,2 hours ago ,1570688134
15,google,Donald Trump,Donald Trump: Latest News,,,,,
16,google,Donald Trump,Donald Trump - AP News,https://www.apnews.com/DonaldTrump,WASHINGTON (AP) — A retiring Republican senator who's being closely watched for his view on President Donald Trump's potential impeachment has ...,989000000,n/a,n/a
17,google,Donald Trump,The 8 wildest moments from Trump's Wednesday press event,https://www.nbcnews.com/politics/donald-trump/8-wildest-moments-trump-s-wednesday-press-event-n1064451,President Donald Trump criticized the Kurdish allies he's been accused of abandoning,,,
18,google,Donald Trump,Donald Trump - Forbes,https://www.forbes.com/profile/donald-trump/,Donald Trump became the first billionaire president of the United States in January 2017. The core of his fortune is tied up in a half-dozen buildings in and ...,989000000,n/a,n/a
19,google,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Trump Tried to Attack Biden Using a Nickelback Song,,,
20,google,Donald Trump,Donald Trump - Newsweek,https://www.newsweek.com/topic/donald-trump,Donald John Trump is the 45th President of the United States.,989000000,n/a,n/a
21,google,Donald Trump,Secrecy is Donald Trump's Achilles heel (Opinion) - CNN,https://www.cnn.com/2019/10/09/opinions/trumps-secrecy-defines-him-dantonio/index.html,"Michael D'Antonio is the author of the book ""Never Enough: Donald Trump and the Pursuit of Success"" and co-author with Peter Eisner of ""The ...",989000000,11 hours ago ,1570655735
22,google,Donald Trump,New poll finds more than half support impeaching Trump and ...,https://www.cnn.com/2019/10/09/politics/trump-impeachment-poll-ukraine-scandal-fox-news/index.html,More than half of US voters want President Donald Trump impeached and removed from office,,,
23,google,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable ...,989000000,n/a,n/a
24,google,Donald Trump,All the President's Women Excerpt Alleges Donald Trump ...,https://www.esquire.com/news-politics/a29391247/donald-trump-assault-allegations-karen-johnson-all-the-presidents-women-book/,If you thought the Access Hollywood tape was the opening salvo in the story of Donald Trump's transgressions against women,,,
25,google,Donald Trump,President Trump (@POTUS) | Twitter,https://twitter.com/potus?lang=en,The latest Tweets from President Trump (@POTUS). 45th President of the United States of America,,,
26,google,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,
27,google,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the ...,989000000,n/a,n/a
28,google,Donald Trump,Donald J. Trump | The Trump Organization | Luxury Real ...,https://www.trump.com/leadership/donald-j-trump-biography,Donald J. Trump is the very definition of the American success story,,,
29,google,Donald Trump,Donald Trump News,,,,,
30,google,Donald Trump,Donald Trump: Inside the White House With the President - Time,https://time.com/donald-trump-after-hours/,President Donald Trump spends his time after hours in the White House with a mix of cable television news,,,
31,google,Donald Trump,The Trump Organization | Luxury Real Estate Portfolio,https://www.trump.com/,Shop · Trump Hotels · Trump Golf · Trump International Realty · Book Trump Golf · Trump Store · Terms of Service · Privacy Policy; Copyright © 2019 The Trump ...,989000000,n/a,n/a
32,google,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,
33,google,Donald Trump,Donald Trump: news,,,,,
34,google,Donald Trump,Hive: Donald Trump News,,,,,
35,google,Donald Trump,Donald Trump | TheHill,https://thehill.com/person/donald-trump,President Trump took aim at a second unnamed intelligence official who is reportedly considering filing a complaint against Trump and testifying before ...,989000000,n/a,n/a
36,google,Donald Trump,Donald Trump - Washington Examiner,https://www.washingtonexaminer.com/tag/donald-trump,Donald Trump Stories ... Trump's Kurdish betrayal is already reviving ISIS and hurting Israel ... Turkey invasion of Syria targets US ally in fight against ISIS.,989000000,n/a,n/a
37,google,Donald Trump,Donald Trump's file | PolitiFact,https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,
38,google,Donald Trump,Impeachment inquiry latest: White House won't cooperate with ...,https://www.cbsnews.com/live-news/trump-impeachment-inquiry-latest-white-house-wont-comply-2019-10-09/,On a July call between Mr. Trump and Ukrainian President Volodymyr Zelensky,,,
39,google,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Coverage of the 45th president of the United States,,,
40,google,Donald Trump,Trump's Bizarro World Reading of the Constitution - POLITICO ...,https://www.politico.com/magazine/story/2019/10/09/trumps-impeachment-unconstitutional-229838,Tuesday looked like many other days in the presidency of Donald J. Trump. He tweeted insults at Democrats,,,
41,google,Donald Trump,Bloomberg Billionaires Index - Donald Trump,https://www.bloomberg.com/billionaires/profiles/donald-j-trump/,View profiles for each of the world's 500 richest people,,,
42,google,Donald Trump,President Donald J. Trump - Home | Facebook,https://www.facebook.com/POTUS/,President Donald J. Trump. 2.8M likes. 45th President of the United States. Working on behalf of the American people to make our country great again....,989000000,n/a,n/a
43,google,Donald Trump,Donald Trump : NPR,https://www.npr.org/tags/134949364/donald-trump,Jul-11,,,
44,google,Donald Trump,Donald Trump Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567754/donald-trump-3/,Donald Trump is one of the most influential people of 2019. Chris Christie writes about the president's summit with Kim Jong-Un.,989000000,n/a,n/a
45,google,Donald Trump,Donald Trump - Bio,,,,,
46,google,Donald Trump,Donald Trump - Pacific Standard,https://psmag.com/tag/donald-trump,Is a Conspiracy Theory Protected Speech? The FBI labeled conspiracy mongering a domestic terror threat. What does that mean for Donald Trump and others ...,989000000,n/a,n/a
47,google,Donald Trump,Donald Trump | US News,https://www.usnews.com/topics/people/donald_trump,News You Can Use® from the states to the Capitol.,989000000,n/a,n/a
48,google,Donald Trump,Donald Trump impeachment inquiry: What happened on ...,https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-impeachment-inquiry-rudy-giuliani-gordon-sondland-testify/3914217002/,The Democrats' impeachment inquiry of President Trump suffered a setback when the State Department blocked a key witness from going ...,989000000,1 day ago ,1570608939
49,google,Donald Trump,Donald Trump's store - Donald J. Trump,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,989000000,n/a,n/a
50,google,Donald Trump,Fox News Poll: Record support for Trump impeachment | Fox ...,https://www.foxnews.com/politics/fox-news-poll-record-support-for-trump-impeachment,Just over half of voters want President Trump impeached and removed from office,,,
51,google,Donald Trump,Donald Trump's longtime business connections in Turkey ...,https://www.nbcnews.com/politics/trump-impeachment-inquiry/donald-trump-s-longtime-business-connections-turkey-back-spotlight-n1064011,WASHINGTON — President Donald Trump's sudden decision to pull U.S. troops out of Northern Syria late Sunday night has drawn harsh ...,989000000,16 hours ago ,1570637739
52,google,Donald Trump,Donald J Trump - YouTube,https://www.youtube.com/channel/UCAql2DyGU2un1Ei2nMYsqOA,This is the official YouTube Channel for Donald J. Trump.,989000000,n/a,n/a
53,google,Donald Trump,The Definitive Net Worth Of Donald Trump - Forbes,https://www.forbes.com/donald-trump/,What's Donald Trump really worth? Forbes estimates his wealth based on his real estate holdings,,,
54,google,Donald Trump,Donald Trump | Complex,https://www.complex.com/tag/donald-trump,Stay tuned to Complex for new Donald Trump content daily.,989000000,n/a,n/a
55,google,Donald Trump,Republican anger grows as Trump disavows Kurds by saying ...,https://www.cnn.com/2019/10/09/politics/turkey-syria-us-anger-ramifications/index.html,Washington (CNN) Republicans savaged President Donald Trump Wednesday for allowing Turkey to attack US allies in Syria as the President ...,989000000,6 hours ago ,1570673740
56,google,Donald Trump,donald trump - Baltimore Sun,https://www.baltimoresun.com/topic/donald-trump-PEBSL000163-topic.html,Democrats promulgate 'soft bigotry of low expectations'. The populist and virulently anti-American ideals that propelled Donald Trump to the presidency are ...,989000000,n/a,n/a
