result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition.,134000000,n/a,n/a
1,google,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,,
2,google,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2435990 likes · 484805 talking about this. 16 year old climate and environmental activist with Asperger's #fridaysforfuture.,134000000,n/a,n/a
3,google,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and ...,https://www.instagram.com/gretathunberg/?hl=en,7.5m Followers,,,
4,google,Greta Thunberg,Greta Thunberg | The Guardian,https://www.theguardian.com/profile/greta-thunberg,Greta Thunberg is a climate activist from Stockholm,,,
5,google,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg,,,
6,google,Greta Thunberg,Greta Thunberg to strike with Denver climate activists Friday,https://www.denverpost.com/2019/10/09/greta-thunberg-denver-cllimate-change-strike/,Sixteen-year-old Swedish climate activist Greta Thunberg who gained notoriety after speaking in front of the United Nations Climate Action ...,134000000,11 hours ago ,1570653758
7,google,Greta Thunberg,Greta Thunberg on Saving the Planet,,,,,
8,google,Greta Thunberg,How 16-year-old Greta Thunberg became the face of climate ...,https://www.businessinsider.com/greta-thunberg-bio-climate-change-activist-2019-9,Greta Thunberg has met with world leaders,,,
9,google,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,Greta Thunberg is leading kids and adults from 150 countries in a massive Friday climate strike. The international protest comes ahead of the ...,134000000,Sep-20,
10,google,Greta Thunberg,Climate Activist Greta Thunberg to Rally in Denver on Friday ...,https://www.westword.com/news/climate-activist-greta-thunberg-to-rally-in-denver-on-friday-11508174,Greta Thunberg,,,
11,google,Greta Thunberg,Greta Thunberg - latest news,,,,,
