result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition.,129000000,n/a,n/a
1,google,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,,
2,google,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2442731 likes · 294686 talking about this. 16 year old climate and environmental activist with Asperger's #fridaysforfuture.,129000000,n/a,n/a
3,google,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and ...,https://www.instagram.com/gretathunberg/,7.6m Followers,,,
4,google,Greta Thunberg,Greta Thunberg | The Guardian,https://www.theguardian.com/profile/greta-thunberg,Greta Thunberg is a climate activist from Stockholm,,,
5,google,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg,,,
6,google,Greta Thunberg,Iowa teacher resigns after Greta Thunberg 'sniper rifle' comment,https://www.usatoday.com/story/news/nation/2019/10/11/iowa-teacher-resigns-after-greta-thunberg-sniper-rifle-comment/3950995002/,Science teacher Matt Baish had been placed on administrative leave after posting \,129000000,1 day ago ,1570876965
7,google,Greta Thunberg,Greta Thunberg - latest news,,,,,
8,google,Greta Thunberg,Greta Thunberg isn't “superhuman” because she's autistic ...,https://slate.com/human-interest/2019/10/greta-thunberg-autism-superpower-debunk.html,On Monday,,,
9,google,Greta Thunberg,Why didn't Greta Thunberg win the Nobel Peace Prize? - The ...,https://www.washingtonpost.com/world/europe/why-didnt-greta-thunberg-win-the-nobel-peace-prize/2019/10/11/e84e6efc-eba4-11e9-9306-47cb0324fd44_story.html,LONDON — Teenage climate activist Greta Thunberg was the odds-on favorite to win this year's Nobel Peace Prize. The award would have ...,129000000,2 days ago ,1570790566
10,google,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,Greta Thunberg is leading kids and adults from 150 countries in a massive Friday climate strike. The international protest comes ahead of the ...,129000000,Sep-20,
11,google,Greta Thunberg,Greta Thunberg Says Friday Climate Strike Will Go on for 'As ...,https://www.newsweek.com/greta-thunberg-friday-climate-strike-world-leaders-1464823,"""The world is waking up and we are the change. And change is coming whether you like it or not",,,
12,google,Greta Thunberg,Greta Thunberg to world leaders: 'How dare you – you have ...,https://www.theguardian.com/environment/video/2019/sep/23/greta-thunberg-to-world-leaders-how-dare-you-you-have-stolen-my-dreams-and-my-childhood-video,'You have stolen my dreams and my childhood with your empty words,,,
13,google,Greta Thunberg,'If they don't do it,,,,,
14,google,Greta Thunberg,Greta Thunberg on politicians: 'How dare they' - YouTube,https://www.youtube.com/watch?v=LWaE5SxwylQ,Swedish climate activist Greta Thunberg told a rally in Denver that young people must be prepared to keep ...,129000000,n/a,n/a
15,google,Greta Thunberg,Teacher Resigns After 'Sniper Rifle' - The New York Times,https://www.nytimes.com/2019/10/11/us/greta-thunberg-teacher-resigns.html,The Swedish climate activist Greta Thunberg last week at a rally in ... a rally featuring Ms. Thunberg because he didn't “have my sniper rifle.”.,129000000,2 days ago ,1570790567
16,google,Greta Thunberg,How 16-year-old Greta Thunberg became the face of climate ...,https://www.businessinsider.com/greta-thunberg-bio-climate-change-activist-2019-9,Greta Thunberg has met with world leaders,,,
17,google,Greta Thunberg,Greta Thunberg Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567758/greta-thunberg/,Teen climate activist Greta Thunberg is one of the most influential people of 2019,,,
18,google,Greta Thunberg,Greta Thunberg To U.S.: 'You Have A Moral Responsibility' On ...,https://www.npr.org/2019/09/13/760538254/greta-thunberg-to-u-s-you-have-a-moral-responsibility-on-climate-change,Swedish activist Greta Thunberg,,,
19,google,Greta Thunberg,Transcript: Greta Thunberg's Speech At The U.N. Climate ...,https://www.npr.org/2019/09/23/763452863/transcript-greta-thunbergs-speech-at-the-u-n-climate-action-summit,Climate activist Greta Thunberg,,,
20,google,Greta Thunberg,"Greta Thunberg on Twitter: ""Heading north again. Now follows ...",https://twitter.com/gretathunberg/status/1183213199232884736,From what I've seen in this thread,,,
21,google,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,"15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: ""My name is Greta ...",129000000,n/a,n/a
22,google,Greta Thunberg,Teen climate activist Greta Thunberg takes her message to ...,https://www.cnn.com/2019/10/11/us/greta-thunberg-denver-climate-strike/index.html,Swedish teenage activist Greta Thunberg did not win this year's Nobel Peace Prize but that didn't stop her from taking her call for greater action ...,129000000,2 days ago ,1570790567
23,google,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Climate activist Greta Thunberg was in attendance as US president Donald Trump arrived at the United ...,129000000,n/a,n/a
24,google,Greta Thunberg,Teacher who made 'sniper rifle' comment about Greta ...,https://www.independent.co.uk/news/world/americas/greta-thunberg-sniper-rifle-teacher-iowa-resigns-climate-change-a9153016.html,Climate activist Greta spoke at the climate strike in Iowa on 4 October ... Greta Thunberg inspires climate activists everywhere: In pictures.,129000000,1 day ago ,1570876968
