result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
2,duckduckgo,Boris johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,The latest Tweets from Boris Johnson (@BorisJohnson). MP for Uxbridge and South Ruislip #BackBoris. United Kingdom,150,,,
3,duckduckgo,Boris johnson,Boris Johnson - Home | Facebook,https://www.facebook.com/borisjohnson,Boris Johnson. 729K likes. Member of Parliament for Uxbridge and South Ruislip,150,,,
5,duckduckgo,Boris johnson,Parody Boris Johnson (@BorisJohnson_MP) | Twitter,https://twitter.com/BorisJohnson_MP,The latest Tweets from Parody Boris Johnson (@BorisJohnson_MP). Overcoming facts and reality through the power of optimism and blind belief. Hobbies include trashing ...,150,,,
6,duckduckgo,Boris johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO) - YouTube,https://www.youtube.com/watch?v=dXyO_MC9g3k,John Oliver explains how Britain&#x27;s new prime minister,,,,
7,duckduckgo,Boris johnson,Boris Johnson - latest news,,,,,,
8,duckduckgo,Boris johnson,Boris Johnson | Politics | The Guardian,https://www.theguardian.com/politics/boris-johnson,Politics live with Andrew Sparrow Brexit: Boris Johnson claims EU has not explained in detail why it objects to his alternative backstop plan - as it happened,150,,,
9,duckduckgo,Boris johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,Boris Johnson responds to Harry Dunn diplomatic immunity row The PM says he does not think &quot;it can be right to use the process of diplomatic immunity for this type of purpose&quot; when asked about the case of 19-year-old Harry Dunn.,150,,,
10,duckduckgo,Boris johnson,Boris Johnson News: Latest UK Prime Minister Updates | Daily Mail Online,https://www.dailymail.co.uk/news/boris_johnson/index.html,Boris Johnson has appealed for the bloc to engage with his proposals as he admitted time is running out to get a deal. Speaking on a visit to a hospital in Watford today,,,,
11,duckduckgo,Boris johnson,Boris Johnson&#x27;s explosive attack at Corbyn - YouTube,https://www.youtube.com/watch?v=CKvzELXosVw,BORIS Johnson today called on Brexit-blocking MPs to &quot;restore trust in democracy&quot; by allowing Britain to leave the EU at last in his first Commons speech.,150,,,
12,duckduckgo,Boris johnson,Boris Johnson - Simple English Wikipedia,,,,,,
13,duckduckgo,Boris johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	150"
14,duckduckgo,Boris johnson,Boris Johnson: clown wordt kamikaze - NRC,https://www.nrc.nl/nieuws/2019/07/25/boris-johnson-clown-wordt-kamikaze-a3968214,Alles wijst erop dat Boris Johnson afkoerst op een chaotisch Brits vertrek uit de EU. Zijn nieuwe regering zit vol met radicale Brexiteers. Allen hebben moeten instemmen met het scenario van een No Deal op 31 oktober.,150,,,
15,duckduckgo,Boris johnson,Boris Johnson (@borisjohnsonmp) • Instagram photos and videos,https://www.instagram.com/borisjohnsonmp/,217.2k Followers,,,,
16,duckduckgo,Boris johnson,Boris Johnson - De Standaard,https://www.standaard.be/tag/boris-johnson,Boris Johnson heeft donderdag zijn nieuwste voorstel om het Verenigd Koninkrijk met een akkoord uit de Europese Unie te halen,,,,
17,duckduckgo,Boris johnson,Boris Johnson - IMDb,https://www.imdb.com/name/nm1296124/,Boris Johnson,,,,
18,duckduckgo,Boris johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,Boris Johnson is a British politician and journalist who has been a Member of Parliament on two occasions,,,,
19,duckduckgo,Boris johnson,Boris Johnson | HLN,https://www.hln.be/tag/boris-johnson,Boris Johnson krijgt schandaal bovenop zijn brexitperikelen. HLN Plus Boris Johnson heeft er nog een kopzorg bij — naast de vraag hoe hij zijn land van Europa losgescheurd krijgt. De krant The Times heeft immers...,150,,,
21,duckduckgo,Boris johnson,Boris Johnson latest news,,,,,,
22,duckduckgo,Boris johnson,Stanley Johnson (writer) - Wikipedia,https://en.wikipedia.org/wiki/Stanley_Johnson_(writer),Johnson said his son Boris Johnson&#x27;s comments that Muslim women who wear burkas look like &quot;letterboxes&quot; and &quot;bank robbers&quot; did not go far enough and that criticism of the comments had been &quot;synthetic indignation&quot; created by political opponents of Boris. In October 2018 Johnson said that,,,,
23,duckduckgo,Boris johnson,Boris Johnson - Sky News,https://news.sky.com/topic/boris-johnson-5853,Sky News - First for Breaking News,,,,
24,duckduckgo,Boris johnson,Boris Johnson - All the latest news and updates- The Sun,https://www.thesun.co.uk/who/boris-johnson/,Boris Johnson is the Prime Minister and has been the MP for Uxbridge and South Ruislip since 2015,,,,
26,duckduckgo,Boris johnson,Boris Johnson Net Worth 2019: Money,,,,,,
29,duckduckgo,Boris johnson,Boris Johnson MP - Latest news &amp; opinion on the Prime Minister - Mirror ...,https://www.mirror.co.uk/all-about/boris-johnson,Boris Johnson Boris Johnson tells police to &#x27;use full force of law&#x27; against Extinction Rebellion Boris Johnson said people have the right to protest but must do it within the law as Extinction Rebellion activists brought parts of London to a standstill,,,,
30,duckduckgo,Boris johnson,Website for Boris Johnson,,,,,,
31,duckduckgo,Boris johnson,NewsNow: Boris Johnson news | Breaking News 24/7,https://www.newsnow.co.uk/h/UK/Government+&+Politics/Conservatives/Boris+Johnson,Breaking news headlines about Boris Johnson linking to 1,,,,
32,duckduckgo,Boris johnson,Boris Johnson: Latest as he takes over as prime minister and picks his ...,https://www.bbc.com/news/live/uk-politics-49073992,That finishes our coverage of Boris Johnson&#x27;s first day as prime minister. It came with the biggest ever clear out of cabinet without a change of party in power. BBC political editor Laura Kuensberg said it was &quot;not a reshuffle it&#x27;s a new government&quot;. Tomorrow,,,,
34,duckduckgo,Boris johnson,Boris Johnson Family Tree &amp; History,,,,,,
35,duckduckgo,Boris johnson,Johnson,,,,,,
36,duckduckgo,Boris johnson,BBC - Who Do You Think You Are? - Boris Johnson - How we did it ...,https://www.bbc.co.uk/whodoyouthinkyouare/new-stories/boris-johnson/how-we-did-it_1.shtml,Boris&#x27;s grandfather,,,,
37,duckduckgo,Boris johnson,Boris Johnson vs. parliament - POLITICO,https://www.politico.eu/article/boris-johnson-vs-parliament/,After a summer of shadow-boxing and speculation,,,,
38,duckduckgo,Boris johnson,Boris Johnson&#x27;s ultimatum: back me or face 14 October election ...,https://www.theguardian.com/politics/2019/sep/02/boris-johnson-threatens-to-ignore-mps-on-no-deal-brexit,Sep-02,,,,
39,duckduckgo,Boris johnson,Boris Johnson - BBC News,https://www.bbc.co.uk/news/topics/c8nq32jw8r1t/boris-johnson,Boris Johnson responds to Harry Dunn diplomatic immunity row The PM says he does not think &quot;it can be right to use the process of diplomatic immunity for this type of purpose&quot; when asked about the case of 19-year-old Harry Dunn.,150,,,
40,duckduckgo,Boris johnson,Boris Johnson Fast Facts - CNN,https://edition.cnn.com/2019/08/13/uk/boris-johnson-fast-facts/index.html,Aug-13,,,,
41,duckduckgo,Boris johnson,Boris Johnson could be the last prime minister of the United Kingdom - CNN,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
42,duckduckgo,Boris johnson,Boris Johnson Biography - Famous People,https://www.thefamouspeople.com/profiles/boris-johnson-4249.php,Boris Johnson is a British politician and Prime Minister of the United Kingdom. Check out this biography to know about his childhood,,,,
43,duckduckgo,Boris johnson,Boris Johnson | The Times &amp; The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson wrote a letter recommending his friend Jennifer Arcuri for a high-flying job as the head of a... Sunday October 06 2019,,,,
44,duckduckgo,Boris johnson,Boris Johnson - Wikipedia,https://fi.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (s. 19. kesäkuuta 1964 New York City,,,,
45,duckduckgo,Boris johnson,Opinion: Boris Johnson,,,,,,
46,duckduckgo,Boris johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Boris Johnson says May&#x27;s Brexit plan &#x27;worse than status quo&#x27; BBC News (11 September 2018) [There has been a] collective failure of government,,,,
