result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
40,google,Boris Johnson,Boris Johnson is trapped in a Brexit prison he helped build ...,https://www.cnn.com/2019/09/14/uk/boris-johnson-is-trapped-in-a-brexit-prison-he-helped-build-intl-gbr/index.html,Boris Johnson never imagined it would be this hard.,334000000,Sep-14,
41,google,Boris Johnson,The Empty Promise of Boris Johnson | The New Yorker,https://www.newyorker.com/magazine/2019/06/24/the-empty-promise-of-boris-johnson,Sam Knight on Boris Johnson,,,
42,google,Boris Johnson,Boris Johnson wins race to be Tory leader and PM - BBC News,https://www.bbc.com/news/uk-politics-49084605,Boris Johnson has been elected new Conservative leader in a ballot of party members and will become the next UK prime minister. He beat ...,334000000,Jul-23,
43,google,Boris Johnson,Boris Johnson: UK will leave EU in October,,,,,
44,google,Boris Johnson,Boris Johnson - Newsweek,https://www.newsweek.com/topic/boris-johnson?page=2,Boris Johnson on Course to Become Next British Prime Minister. The former foreign secretary is the favorite to replace Prime Minister Theresa May,,,
45,google,Boris Johnson,Boris Johnson,,,,,
46,google,Boris Johnson,Boris Johnson - Washington Examiner,https://www.washingtonexaminer.com/tag/boris-johnson,Boris Johnson urges US to reconsider immunity for diplomat's wife who fled from ... 'Gropegate': Journalist claims British premier Boris Johnson squeezed her ...,334000000,n/a,n/a
47,google,Boris Johnson,Is Boris Johnson Ready to be Britain's Prime Minister? - The ...,https://www.theatlantic.com/international/archive/2019/07/boris-johnson-profile/594379/,This is the Boris Johnson who would go to Oxford to study classics,,,
48,google,Boris Johnson,Boris Johnson to meet Irish PM Leo Varadkar in race for Brexit ...,https://news.sky.com/story/boris-johnson-to-meet-irish-pm-leo-varadkar-in-race-for-brexit-deal-11831757,The pair will meet as hopes for a UK-EU divorce agreement diminish ahead of the 31 October deadline.,334000000,5 hours ago ,1570676304
49,google,Boris Johnson,Boris Johnson Still Basks in Favor of Hard-Line Tories,,,,,
50,google,Boris Johnson,In Contest to Succeed Theresa May,,,,,
51,google,Boris Johnson,U.S. Businesswoman Admitted Affair With Boris Johnson,,,,,
52,google,Boris Johnson,As Prime Minister,,,,,
53,google,Boris Johnson,Brexit: Boris Johnson ordered to appear in court over £350m ...,https://www.bbc.com/news/uk-politics-48445430,Boris Johnson has been ordered to appear in court over claims he lied by saying the UK gave the EU £350m a week. The Tory leadership ...,334000000,May-29,
54,google,Boris Johnson,Brexit: dismay in Brussels as Boris Johnson finally reveals ...,https://www.theguardian.com/politics/2019/oct/02/boris-johnson-unveils-brexit-plan-for-alternative-to-backstop,Boris Johnson appears to be fighting a losing battle to avoid Britain staying in the European Union beyond 31 October after Michel Barnier ...,334000000,Oct-02,
55,google,Boris Johnson,If UK PM Boris Johnson misled the Queen,,,,,
56,google,Boris Johnson,Boris Johnson in spotlight after reported police call-out to home,https://www.cnn.com/2019/06/22/uk/boris-johnson-home-altercation-gbr-intl/index.html,Boris Johnson,,,
57,google,Boris Johnson,Boris Johnson charges toward the 'valley of Death' – POLITICO,https://www.politico.eu/article/boris-johnson-brexit-valley-of-death/,The mood at the annual Tory conference was buoyant,,,
58,google,Boris Johnson,Who is Boris Johnson? Gaffe-prone politician will be prime ...,https://www.businessinsider.com/who-is-boris-johnson-the-gaffe-prone-politician-tipped-to-succeed-theresa-may-controveries-offensive-remarks-2019-5,Boris Johnson has won the contest to replace Theresa May as leader of the Conservative party and prime minister. He is a divisive and ...,334000000,Jul-23,
59,google,Boris Johnson,Boris Johnson,,,,,
60,google,Boris Johnson,Women in Parliament Call Out Boris Johnson for His ...,https://www.nytimes.com/2019/09/26/world/europe/boris-johnson-women.html,LONDON — One after another,,,
61,google,Boris Johnson,Boris Johnson could be forced out as UK Prime Minister by ...,https://www.cnn.com/2019/09/28/uk/boris-johnson-no-confidence-vote-intl-gbr/index.html,London (CNN) British Prime Minister Boris Johnson could be forced out of office next week as opposition lawmakers try to join forces to replace ...,334000000,Sep-29,
62,google,Boris Johnson,How long can Boris Johnson cling onto power for? - CNN,https://www.cnn.com/2019/09/24/uk/boris-johnson-supreme-court-ruling-analysis-gbr-intl/index.html,At the end of the worst day in his professional life,,,
63,google,Boris Johnson,The women of Boris Johnson's past are starting to catch up ...,https://www.cnn.com/2019/09/30/uk/boris-johnson-charlotte-edwardes-analysis-gbr-intl/index.html,Since becoming Prime Minister in July,,,
64,google,Boris Johnson,'Not the Boris we're used to': Johnson's ruthlessly organised ...,https://www.theguardian.com/politics/2019/jun/09/boris-johnson-kept-from-media-in-ruthlessly-organised-campaign,Tory MPs 'gobsmacked' by lengths to which frontrunner's team is going in attempt to win support.,334000000,Jun-09,
65,google,Boris Johnson,Who is Boris Johnson,,,,,
66,google,Boris Johnson,After daring to face down Brussels,,,,,
67,google,Boris Johnson,Brexit: What Are Boris Johnson's Options | National Review,https://www.nationalreview.com/2019/09/brexit-boris-johnson-options/,A coalition of Labour,,,
68,google,Boris Johnson,Boris Johnson Told Us No-Deal Would Be A Failure,,,,,
69,google,Boris Johnson,Boris Johnson has been referred to a police watchdog over ...,https://www.cnn.com/2019/09/27/uk/boris-johnson-police-watchdog-intl-gbr/index.html,(CNN) British Prime Minister Boris Johnson has been referred to a police watchdog over his alleged relationship with an American ...,334000000,Sep-28,
70,google,Boris Johnson,Boris Johnson's Brexit options are all bad - CNN - CNN.com,https://www.cnn.com/2019/09/07/europe/boris-johnson-options-brexit-gbr-intl/index.html,Boris Johnson keeps saying he really,,,
71,google,Boris Johnson,Boris Johnson is out of Brexit ideas - CNN,https://www.cnn.com/2019/09/09/uk/boris-johnson-luke-mcgee-analysis-intl-gbr/index.html,Boris Johnson has only been Prime Minister for seven weeks,,,
72,google,Boris Johnson,Brexit is a tool for Boris Johnson to win an election. The EU is ...,https://www.cnn.com/2019/09/28/uk/boris-johnson-brexit-analysis-intl-gbr/index.html,How seriously is Boris Johnson taking Brexit? Not very,,,
73,google,Boris Johnson,Boris Johnson: I will never surrender - YouTube,https://www.youtube.com/watch?v=rlsGGq4p0wM,BORIS Johnson is planning a snap general election on October 14 if MPs block a No Deal Brexit this week,,,
74,google,Boris Johnson,Where Boris Johnson went wrong – POLITICO,https://www.politico.eu/article/where-boris-johnson-went-wrong-dominic-cummings-plan/,The prime minister's office didn't count on Labour not agreeing to an election.,334000000,Sep-25,
75,google,Boris Johnson,Boris Johnson: I'd rather be dead in ditch than agree Brexit ...,https://www.theguardian.com/politics/2019/sep/05/boris-johnson-rather-be-dead-in-ditch-than-agree-brexit-extension,Boris Johnson has said he would “rather be dead in a ditch” than agree to extend Brexit,,,
76,google,Boris Johnson,EU dismay as Boris Johnson compares himself to Hulk ...,https://www.theguardian.com/politics/2019/sep/15/eu-dismay-boris-johnson-compares-himself-to-hulk,European officials have reacted with exasperation after Boris Johnson compared himself to the Incredible Hulk throwing off the shackles of the ...,334000000,Sep-15,
77,google,Boris Johnson,Boris Johnson says it is 'absolutely' not true he misled Queen ...,https://www.theguardian.com/politics/2019/sep/12/absolutely-not-true-i-misled-queen-says-boris-johnson,Boris Johnson has said it is “absolutely not true” that he misled the Queen over his reasons for suspending ...,334000000,n/a,n/a
78,google,Boris Johnson,The verdict is in: Boris Johnson is a liar. And he should pay ...,https://www.theguardian.com/commentisfree/2019/sep/24/boris-johnson-liar-supreme-court-verdict-parliament-prorogation,If Boris Johnson does nothing more,,,
79,google,Boris Johnson,Boris Johnson to meet Irish PM Leo Varadkar as his Brexit ...,https://www.mirror.co.uk/news/politics/boris-johnson-meet-irish-pm-20549894,Boris Johnson will today make another bid to save his disintegrating Brexit deal by meeting Irish PM Leo Varadkar,,,
80,google,Boris Johnson,Taoiseach to meet Boris Johnson later today for Brexit talks,https://www.irishexaminer.com/breakingnews/ireland/taoiseach-to-meet-boris-johnson-later-today-for-brexit-talks-956159.html,Taoiseach Leo Varadkar is travelling to the UK to meet with UK Prime Minister Boris Johnson for Brexit talks. The two leaders will meet in ...,334000000,1 hour ago ,1570690709
81,google,Boris Johnson,Boris Johnson - Indy100,https://www.indy100.com/topics/boris-johnson,Boris Johnson apparently has a mug with his own face on it. UPVOTE ... Boris Johnson has joined Snapchat and there are too many jokes. UPVOTE ...,334000000,n/a,n/a
82,google,Boris Johnson,May's plan 'sticks in the throat',,,,,
83,google,Boris Johnson,Boris Johnson and the tech boss who called him 'Alex the Great',https://www.theguardian.com/politics/2019/sep/23/closer-than-a-business-friendship-boris-johnson-and-the-tech-firm-boss,When a story broke over the weekend about Boris Johnson's friendship with an American tech entrepreneur who was granted £126,,,
84,google,Boris Johnson,Boris Johnson – Wikipedia,https://nds.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (* 19. Juni 1964 in New York City,,,
85,google,Boris Johnson,Brexit news latest: Boris Johnson set for critical meeting with ...,https://www.standard.co.uk/news/politics/brexit-news-latest-boris-johnson-set-for-critical-meeting-with-irish-premier-leo-varadkar-a4258106.html,Boris Johnson is set for a critical Brexit meeting with Irish premier Leo Varadkar. Thursday's meeting,,,
86,google,Boris Johnson,More about boris-johnson | Africanews,https://www.africanews.com/tag/boris-johnson/,Ukraine: Zelensky sells out? [International Edition] · Ukrainian nationalists protest against the deal but president Volodymyr Zelensky says polls will be held only ...,334000000,n/a,n/a
