result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
41,bing,Donald Trump,Amazon.com: Donald Trump,https://www.amazon.com/Donald-Trump/s?k=Donald+Trump,President Predicto - Donald Trump Fortune Teller Ball - The Greatest Way to Discover Your Future - Ask a YES or NO Question &amp; Trump Speaks the Answer - Like a Next Generation Magic 8 Ball – Funny Gift,81900000,,,
42,bing,Donald Trump,Donald Trump Biography - Facts,,,,,,
43,bing,Donald Trump,Donald Trump: Latest News,,,,,,
44,bing,Donald Trump,Donald Trump - Biography - IMDb,https://www.imdb.com/name/nm0874339/bio,Donald John Trump was born on June 14,,,,
45,bing,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Trump Again Attacks Teenage Climate Activist Greta Thunberg,,,,
46,bing,Donald Trump,Donald Trump Quotes - BrainyQuote,https://www.brainyquote.com/authors/donald-trump-quotes,Enjoy the best Donald Trump Quotes at BrainyQuote. Quotations by Donald Trump,,,,
47,bing,Donald Trump,Donald Trump | News,,,,,,
48,bing,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,,
49,bing,Donald Trump,Donald Trump – Wikipedia,https://fi.wikipedia.org/wiki/Donald_Trump,Donald John Trump (s.14. kesäkuuta 1946 Queens,,,,
50,bing,Donald Trump,Donald Trump – Wikipedia,https://sv.wikipedia.org/wiki/Donald_Trump,Donald Trumps farföräldrar föddes i Kallstadt i Tyskland.Farfadern Friedrich hade förenklat släktnamnet Drumpf till Trump,,,,
51,bing,Donald Trump,"Is This Donald Trump""s Intelligence Quotient?",https://www.snopes.com/fact-check/donald-trumps-intelligence-quotient/,Dec-07,,,,
52,bing,Donald Trump,Donald Trump News | Photos | Quotes | Wiki - UPI.com,https://www.upi.com/topic/Donald_Trump/,Donald John Trump,,,,
53,bing,Donald Trump,Donald Trump Tickets,,,, tonight, this weekend," summer""	81900000"
54,bing,Donald Trump,"Donald Trump""s file | PolitiFact",https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,,
55,bing,Donald Trump,Donald Trump - mashable.com,https://mashable.com/category/donald-trump/,Sep-26,,,,
56,bing,Donald Trump,Trump: The Art of the Deal: Donald J. Trump,,,,,,
57,bing,Donald Trump,Donald Trump Archives - Us Weekly - usmagazine.com,https://www.usmagazine.com/celebrities/donald-trump/,Businessman Donald Trump was born June 14,,,,
58,bing,Donald Trump,Donald Trump Articles - Breitbart,https://www.breitbart.com/tag/donald-trump/,Oct-06,,,,
59,bing,Donald Trump,Donald Trump | Yahoo Entertainment,https://www.yahoo.com/entertainment/tagged/donald-trump/,Jim Carrey Compares Trump to Hans Gruber in ‘Die Hard’-Inspired Artwork. Jim Carrey’s ready for the impeachment inquiry into Donald Trump.Sharing another one of his political satires on ...,81900000,,,
60,bing,Donald Trump,Donald Trump – Wikipedie,https://cs.wikipedia.org/wiki/Donald_Trump,—Donald Trump,,,,
61,bing,Donald Trump,Donald Trump Jr. - Biography,https://www.biography.com/personality/donald-trump-jr,Jul-10,,,,
62,bing,Donald Trump,Donald Trump Games - Free Online Donald Trump Games,https://www.crazygames.com/t/donald-trump,We collected 33 of the best free online donald trump games. These games include browser games for both your computer and mobile devices,,,,
63,bing,Donald Trump,Donald Trump | Yahoo Lifestyle,https://www.yahoo.com/lifestyle/tagged/donald-trump/,Trump-supporting Ms. Nevada claims she was stripped of title because of her conservative views. The winner of Ms. Nevada 2019,,,,
64,bing,Donald Trump,Donald Trump - apnews.com,https://apnews.com/DonaldTrump,Oct-07,,,,
65,bing,Donald Trump,"Barron Trump Facts - Melania Trump""s Son""s Age",,,,,,
66,bing,Donald Trump,Hive: Donald Trump News,,,,,,
67,bing,Donald Trump,Donald Trump on the Issues,https://www.ontheissues.org/donald_trump.htm,Donald Trump on Abortion : Click here for 22 full quotes on Abortion OR other candidates on Abortion OR background on Abortion.. FactCheck: Late abortions only for non-viable fetus. (Feb 2019) Cherish innocent life instead of ripping babies from womb.,81900000,,,
68,bing,Donald Trump,Who is Donald Trump? Bio,,,,,,
69,bing,Donald Trump,All False statements involving Donald Trump | PolitiFact,https://www.politifact.com/personalities/donald-trump/statements/byruling/false/,"Says U.S. Sen. Sherrod Brown and Dayton Mayor Nan Whaley were ""totally misrepresenting what took place inside of the hospital. Their news conference after I left for El Paso was a fraud.",81900000,,,
70,bing,Donald Trump,Donald Trump,https://www.newsmax.com/hottopics/topic/Donald-Trump/138/,Oct-06,,,,
71,bing,Donald Trump,Republican President Donald Trump - News,,,,,,
72,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,81900000,,,
73,bing,Donald Trump,Donald Trump presidential campaign,,,, on immigration, on foreign affairs," will be made to benefit American workers and American families.""	81900000"
74,bing,Donald Trump,How Donald Trump Got His Money,https://www.investopedia.com/updates/donald-trump-rich/,President Donald J. Trump,,,,
75,bing,Donald Trump,Presidential Election Results: Donald J. Trump Wins ...,https://www.nytimes.com/elections/2016/results/president,Aug-09,,,,
76,bing,Donald Trump,Donald Trump Stories - washingtonexaminer.com,https://www.washingtonexaminer.com/tag/donald-trump,"Donald Trump Stories ... Trump-district Democrat echoes Nancy Pelosi ""sad"" words about impeachment. Kerry Picket | October 02",,,,
77,bing,Donald Trump,Donald Trump List of Movies and TV Shows | TV Guide,https://www.tvguide.com/celebrities/donald-trump/credits/194141/,Donald Trump full list of movies and tv shows in theaters,,,,
78,bing,Donald Trump,Donald Trump GIFs - Find & Share on GIPHY,https://giphy.com/search/donald-trump/,Find GIFs with the latest and newest hashtags! Search,,,,
79,bing,Donald Trump,"World""s Best Donald Trump Stock Pictures",,,,,,
80,bing,Donald Trump,Donald Trump on Immigration: Pros,,,,,,
81,bing,Donald Trump,Who Is Kimberly Guilfoyle,,,,,,
82,bing,Donald Trump,Does Donald Trump Have a College Degree ...,https://www.urbanedjournal.org/degree/does-donald-trump-have-college-degree,Many US citizens and other people around the world interested in question: Does Donald Trump Have a College Degree? Trump grew up in Jamaica,,,,
83,bing,Donald Trump,Donald J. Trump | C-SPAN.org,https://www.c-span.org/person/?donaldtrump,Donald J. Trump. Donald John Trump is the 45th and current President of the United States,,,,
84,bing,Donald Trump,"President Donald Trump""s Economic Plan - The Balance",https://www.thebalance.com/donald-trump-economic-plan-3994106,Jul-11,,,,
85,bing,Donald Trump,Donald Trump - Wikimedia Commons,https://commons.wikimedia.org/wiki/Donald_Trump,This page was last edited on 7 March 2019,,,,
