result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,82200000,,,
1,bing,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,,
2,bing,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable achievements of the past. His...,82200000,,,
3,bing,Donald Trump,Donald Trump | US news | The Guardian,https://www.theguardian.com/us-news/donaldtrump,The latest news,,,,
4,bing,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump,Donald J. Trump,,,,
5,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",82200000,,,
6,bing,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,President of the United States,,,,
7,bing,Donald Trump,Donald Trump: Latest News,,,,,,
8,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,,82200000,,,
9,bing,Donald Trump,Trump,,,,,,
10,bing,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Oct-08,,,,
11,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,82200000,,,
12,bing,Donald Trump,Donald Trump news,,,,,,
13,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",82200000,,,
14,bing,Donald Trump,Donald Trump - Latest News and Top Stories - NBC News,https://www.nbcnews.com/politics/donald-trump,Democrats talk op-ed asking for Trump’s Ukraine conversation to be investigated: ‘This is a game changer’,82200000,,,
15,bing,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump,Donald J. Trump,,,,
16,bing,Donald Trump,Donald Trump - latest news,,,,,,
17,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,Mar-07,,,,
18,bing,Donald Trump,Official Trump Store | Brand New Merchandise – Trump Make ...,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,82200000,,,
19,bing,Donald Trump,Donald Trump Jr. (@DonaldJTrumpJr) | Twitter,https://twitter.com/donaldjtrumpjr,Mar-08,,,,
20,bing,Donald Trump,Donald Trump - U.S. Presidency,,,,,,
21,bing,Donald Trump,Rallies | Donald J. Trump for President,https://www.donaldjtrump.com/rallies/,Help continue our promise to Make America Great Again!,82200000,,,
22,bing,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,President of the United States,,,,
23,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,82200000,,,
24,bing,Donald Trump,President Donald Trump | Psychology Today,https://www.psychologytoday.com/us/basics/president-donald-trump,Since the campaign that led to his 2016 election,,,,
25,bing,Donald Trump,President Donald Trump - Public Schedule Calendar | Factbase,https://factba.se/topic/calendar,"Donald Trump - President""s Public Schedule. Available as a Google Calendar Schedule updates at midnight Eastern Time",,,,
26,bing,Donald Trump,NewsNow: Donald Trump news | Breaking News & Search 24/7,https://www.newsnow.co.uk/h/World+News/USA/Donald+Trump,Read the latest Donald Trump headlines,,,,
27,bing,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,,
