result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,,1220000,,,
1,bing,Boris Johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	1220000"
2,bing,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,"Boris Johnson tells the UN Brexit is like having one""s liver pecked out by an eagle for all eternity British Prime Minister Boris Johnson on Tuesday equated his country’s impending departure from...",1220000,,,
3,bing,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,,1220000,,,
4,bing,Boris Johnson,Boris Johnson - latest news,,,,,,
5,bing,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,A life-sized model of Prime Minister Boris Johnson made entirely out of cake has been unveiled at the Cake and Bake Show 2019,,,,
6,bing,Boris Johnson,Boris Johnson | Politics | The Guardian,https://www.theguardian.com/politics/boris-johnson,Politics live with Andrew Sparrow Brexit: Boris Johnson claims EU has not explained in detail why it objects to his alternative backstop plan - as it happened,1220000,,,
7,bing,Boris Johnson,Boris Johnson - Home | Facebook,https://www.facebook.com/borisjohnson,Boris Johnson. 729K likes. Member of Parliament for Uxbridge and South Ruislip,1220000,,,
8,bing,Boris Johnson,Boris Johnson - Simple English Wikipedia,,,,,,
9,bing,Boris Johnson,Boris Johnson Biography - Facts,,,,,,
10,bing,Boris Johnson,Boris Johnson - famechain.com,https://www.famechain.com/family-tree/11347/boris-johnson,"Boris Johnson""s former partners: Boris Johnson""s former wife is Marina Johnson QC Boris Johnson had an affair with Helen MacIntyre Boris Johnson allegedly had a romance with Petsy Wyatt Boris Johnson""s former wife is Allegra Mostyn-Owen",1220000,,,
11,bing,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,"Boris Johnson responds to Harry Dunn diplomatic immunity row The PM says he does not think ""it can be right to use the process of diplomatic immunity for this type of purpose"" when asked about the ...",1220000,,,
12,bing,Boris Johnson,"Boris Johnson""s children - how many kids does the PM have ...",https://www.thesun.co.uk/news/9322111/boris-johnson-children-love-child/,Oct-01,,,,
