result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,,
36,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
37,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
38,bing,Greta Thunberg,Greta Thunberg,,,,,,,
39,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
40,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
41,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
42,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
43,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
44,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
45,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Greta Thunberg is a Swedish climate activist. Why you should listen In August 2018,,,,,
46,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
47,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
48,bing,Greta Thunberg,Greta Thunberg,,,,,,,
49,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
50,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
51,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
52,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
53,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
54,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
55,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Greta Thunberg is a Swedish climate activist. Why you should listen In August 2018,,,,,
56,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
57,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
58,bing,Greta Thunberg,Greta Thunberg,,,,,,,
59,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
60,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
61,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
62,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
63,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
64,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
65,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Greta Thunberg is a Swedish climate activist. Why you should listen In August 2018,,,,,
66,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
67,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
68,bing,Greta Thunberg,Greta Thunberg,,,,,,,
69,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
70,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
71,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
72,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
73,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
74,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
75,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Greta Thunberg is a Swedish climate activist. Why you should listen In August 2018,,,,,
76,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,,
77,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,,
78,bing,Greta Thunberg,Greta Thunberg,,,,,,,
79,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,,
80,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg FRSGS (born 3 January 2003) is a Swedish teenage environmental activist on climate change whose campaigning has gained international recognition. Thunberg first became known for her activism in August 2018 when,,,,,
81,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,7.4m Followers,,,,,
82,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,,
83,bing,Greta Thunberg,Greta Thunberg (@GretaThunberg) | Twitter,https://twitter.com/GretaThunberg,Sep-16,,,,,
84,bing,Greta Thunberg,Greta Thunberg Age,,,, is the descendant of Svante Arrhenius, the Nobel Prize-winning scientist, who first calculated the greenhouse effect caused by carbon dioxide emissions in 1896," known to some as the “father of …""	7790000"
