result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Donald Trump,Home | Donald J. Trump for President,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,1130000000,n/a,n/a
1,google,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,
2,google,Donald Trump,Donald Trump - CNBC - CNBC.com,https://www.cnbc.com/donald-trump/,There were dozens of ears listening to President Donald Trump's 30-minute phone call with Ukrainian President Volodymyr Zelenskiy that is at the center of a ...,1130000000,n/a,n/a
3,google,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,Candidate for President of the United States,,,
4,google,Donald Trump,Donald Trump - HuffPost,https://www.huffpost.com/news/topic/donald-trump,Catch up on the latest news on Donald Trump. Including photos,,,
5,google,Donald Trump,Donald Trump news,,,,,
6,google,Donald Trump,Donald Trump Fast Facts - CNN,https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html,Read CNN's Donald Trump Fast Facts to learn more about the 45th president of the United States.,1130000000,Oct-05,
7,google,Donald Trump,Donald Trump - U.S. Presidency,,,,,
8,google,Donald Trump,Donald Trump: The Latest News,,,,,
9,google,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump/,Donald J. Trump,,,
10,google,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Get Donald Trump's latest news from Al Jazeera. ... Semyon Kislin,,,
11,google,Donald Trump,Trump,,,,,
12,google,Donald Trump,Donald Trump News & Videos - ABC News - ABC News,https://abcnews.go.com/alerts/donald-trump,Follow the latest Donald Trump news stories and headlines. Get breaking news alerts when you download the ABC News App and subscribe to Donald Trump ...,1130000000,n/a,n/a
13,google,Donald Trump,Donald Trump - Associated Press,https://www.apnews.com/DonaldTrump,WASHINGTON (AP) — Rudy Giuliani,,,
14,google,Donald Trump,Donald Trump - AP News,https://apnews.com/DonaldTrump,WASHINGTON (AP) — The White House and the Justice Department learned about a CIA officer's concerns about President Donald Trump around the same ...,1130000000,n/a,n/a
15,google,Donald Trump,Donald Trump - Newsweek,https://www.newsweek.com/topic/donald-trump,Donald John Trump is the 45th President of the United States.,1130000000,n/a,n/a
16,google,Donald Trump,Donald Trump: Latest News,,,,,
17,google,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Meghan McCain Goes 'a Bit Rogue' in Impassioned Criticism of Trump's Latest Military Move: 'Unpatriotic Cowards!' Read More. Advertisement ...,1130000000,n/a,n/a
18,google,Donald Trump,Donald Trump - Forbes,https://www.forbes.com/profile/donald-trump/,Donald Trump became the first billionaire president of the United States in January 2017. The core of his fortune is tied up in a half-dozen buildings in and ...,1130000000,n/a,n/a
19,google,Donald Trump,Donald Trump News,,,,,
20,google,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the ...,1130000000,n/a,n/a
21,google,Donald Trump,The latest on the Trump impeachment inquiry - CNNPolitics,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-13-2019/index.html,The latest: President Donald Trump defended his personal lawyer Rudy Giuliani amid scrutiny of his finances and ties. New investigation: ...,1130000000,34 mins ago ,1570964425
22,google,Donald Trump,Live updates: The latest on the Trump impeachment inquiry ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-12-2019/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,1130000000,16 hours ago ,1570908865
23,google,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable ...,1130000000,n/a,n/a
24,google,Donald Trump,Trump's Syria decision divides white evangelicals as ...,https://www.nbcnews.com/think/opinion/trump-s-syria-decision-divides-white-evangelicals-impeachment-pressure-builds-ncna1065481,When President Donald Trump is not attacking pro-impeachment Democrats or Republicans who have dared to question him in public,,,
25,google,Donald Trump,Donald J. Trump | The Trump Organization | Luxury Real ...,https://www.trump.com/leadership/donald-j-trump-biography,Donald J. Trump is the very definition of the American success story,,,
26,google,Donald Trump,The Trump Organization | Luxury Real Estate Portfolio,https://www.trump.com/,Shop · Trump Hotels · Trump Golf · Trump International Realty · Book Trump Golf · Trump Store · Terms of Service · Privacy Policy; Copyright © 2019 The Trump ...,1130000000,n/a,n/a
27,google,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,
28,google,Donald Trump,How 'White Guilt' in the Age of Trump Shapes the Democratic ...,https://www.nytimes.com/2019/10/13/us/politics/democratic-candidates-racism.html,ANKENY,,,
29,google,Donald Trump,In Show of Support,,,,,
30,google,Donald Trump,Donald Trump: Inside the White House With the President - Time,https://time.com/donald-trump-after-hours/,President Donald Trump spends his time after hours in the White House with a mix of cable television news,,,
31,google,Donald Trump,Friday's 5 court rulings against President Donald Trump ...,https://www.cnn.com/2019/10/11/politics/5-rulings-against-trump-taxes-border-wall-immigration-public-charge/index.html,Washington (CNN) President Donald Trump has relentlessly pushed to build a border wall and tighten immigration restrictions. He's also fought ...,1130000000,1 day ago ,1570880067
32,google,Donald Trump,Trump's losses mount in stunning day of setbacks - CNNPolitics,https://www.cnn.com/2019/10/11/politics/donald-trump-court-rulings-bad-day/index.html,Washington (CNN) Five federal courts dealt blows to President Donald Trump on Friday just as the limits of his legal strategy to block an ...,1130000000,1 day ago ,1570880067
33,google,Donald Trump,Trump has been clobbered by the courts -- and there may be ...,https://www.cnn.com/2019/10/12/politics/trump-courts-immigration-tax-returns/index.html,The third branch of government last week began to exact a revenge on the President. And there's likely to be more bad news for Donald Trump ...,1130000000,11 hours ago ,1570926867
34,google,Donald Trump,donald trump - Baltimore Sun,https://www.baltimoresun.com/topic/donald-trump-PEBSL000163-topic.html,Justice Department inspector general to review Trump decision not to move FBI headquarters ... Trump says teleprompter failed in speech that bungled history of ...,1130000000,n/a,n/a
35,google,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,
36,google,Donald Trump,President Donald Trump Tweetstorm – The Saturday Edition ...,https://deadline.com/2019/10/president-donald-trump-tweetstorm-the-saturday-edition-43-1202758659/,President Donald Trump has a busy Saturday planned. He'll be speaking later at the Values Voter Summit in Washington,,,
37,google,Donald Trump,Donald Trump: news,,,,,
38,google,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Coverage of the 45th president of the United States,,,
39,google,Donald Trump,Trump and Giuliani sticking together as the impeachment ...,https://www.vox.com/policy-and-politics/2019/10/12/20911440/impeachment-inquiry-trump-rudy-giuliani-still-personal-laywer-parnas-fruman,Is Giuliani still Trump's lawyer? The president doesn't seem sure,,,
40,google,Donald Trump,Hive: Donald Trump News,,,,,
41,google,Donald Trump,Donald Trump | US News,https://www.usnews.com/topics/people/donald_trump,Yovanovitch: Trump Pushed for Removal. Marie Yovanovitch,,,
42,google,Donald Trump,Donald Trump | TheHill,https://thehill.com/person/donald-trump,Graham-Trump rollercoaster hits dizzying speed. Senate. Sen. Lindsey Graham (R-S.C.) has become one of President Trump's most vociferous critics on the ...,1130000000,n/a,n/a
43,google,Donald Trump,Donald Trump's file | PolitiFact,https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,
44,google,Donald Trump,Bloomberg Billionaires Index - Donald Trump,https://www.bloomberg.com/billionaires/profiles/donald-j-trump/,View profiles for each of the world's 500 richest people,,,
45,google,Donald Trump,Steve Schwarzman: Here's what people get wrong about ...,https://finance.yahoo.com/news/blackstone-ceo-steve-schwarzman-on-trump-tweets-143310544.html,Billionaire private equity chief Stephen A. Schwarzman,,,
46,google,Donald Trump,Donald Trump,,,,,
47,google,Donald Trump,President Donald J. Trump - Home | Facebook,https://www.facebook.com/POTUS/,President Donald J. Trump. 2.8M likes. 45th President of the United States. Working on behalf of the American people to make our country great again....,1130000000,n/a,n/a
48,google,Donald Trump,Donald Trump's store - Donald J. Trump,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,1130000000,n/a,n/a
49,google,Donald Trump,Donald Trump - Business Insider,https://www.businessinsider.com/category/donald-trump,A White House adviser is flip-flopping on whether China gave him information on Joe Biden's son after Trump asked Beijing to investigate the Bidens.,1130000000,n/a,n/a
50,google,Donald Trump,Donald Trump - Bio,,,,,
51,google,Donald Trump,2014 photograph shows earlier ties between Trump and ...,https://www.politico.com/news/2019/10/12/trump-lev-parnas-photo-giuliani-045137,A photograph of President Donald Trump posing with a recently indicted associate of Rudy Giuliani was posted online in March 2014,,,
52,google,Donald Trump,President Trump (@POTUS) | Twitter,https://twitter.com/potus?lang=en,The latest Tweets from President Trump (@POTUS). 45th President of the United States of America,,,
53,google,Donald Trump,Donald Trump - Washington Examiner,https://www.washingtonexaminer.com/tag/donald-trump,Oct-12,,,
54,google,Donald Trump,Anatomy of the phone call now imperiling Trump's presidency,https://www.apnews.com/ab67c31d9b3c4acdada93a624052ddc4,WASHINGTON (AP) — There were dozens of ears listening to President Donald Trump's 30-minute phone call with the leader of Ukraine that is ...,1130000000,22 hours ago ,1570887269
55,google,Donald Trump,Donald Trump : NPR,https://www.npr.org/tags/134949364/donald-trump,Jul-11,,,
56,google,Donald Trump,Trump Minnesota rally: Trump targets Somali refugees ...,https://www.cnn.com/2019/10/10/politics/donald-trump-campaign-rally-minnesota/index.html,Washington (CNN) President Donald Trump used his rally in Minneapolis Thursday night to hit on several of his key issues through a ...,1130000000,2 days ago ,1570793670
57,google,Donald Trump,Donald Trump Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567754/donald-trump-3/,Donald Trump is one of the most influential people of 2019. Chris Christie writes about the president's summit with Kim Jong-Un.,1130000000,n/a,n/a
