result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
40,duckduckgo,Boris Johnson,Boris Johnson could be the last prime minister of the United Kingdom - CNN,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
41,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://en.wikiquote.org/wiki/Boris_Johnson,Boris Johnson says May&#x27;s Brexit plan &#x27;worse than status quo&#x27; BBC News (11 September 2018) [There has been a] collective failure of government,,,,
42,duckduckgo,Boris Johnson,Boris Johnson family photo: Boris with his 4 children ... - express.co.uk,https://www.express.co.uk/news/politics/1141496/boris-johnson-family-photo-children-wife-lara-lettice-cassia-milo-theodore-Stephanie,Boris Johnson family photo: Boris with his 4 children and who they are REVEALED BORIS JOHNSON has just been announced as the next Tory leader and the latest Prime Minister of the UK,,,,
43,duckduckgo,Boris Johnson,Boris Johnson Biography - Famous People,https://www.thefamouspeople.com/profiles/boris-johnson-4249.php,Boris Johnson is a British politician and Prime Minister of the United Kingdom. Check out this biography to know about his childhood,,,,
44,duckduckgo,Boris Johnson,The Rt Hon Boris Johnson MP - GOV.UK,https://www.gov.uk/government/people/boris-johnson,Boris Johnson became Prime Minister on 24 July 2019. He was previously Foreign Secretary from 13 July 2016 to 9 July 2018. He was elected Conservative MP for Uxbridge and South Ruislip in May 2015. Previously he was the MP for Henley from June 2001 to June 2008.,150,,,
45,duckduckgo,Boris Johnson,Boris Johnson - Wikiquote,https://nl.wikiquote.org/wiki/Boris_Johnson,Johnson probeerde de Britse pingpongers die het moesten opnemen tegen China een hart onder de riem steken,,,,
47,duckduckgo,Boris Johnson,Boris Johnson | The Times &amp; The Sunday Times,https://www.thetimes.co.uk/topic/boris-johnson,Boris Johnson can secure a Brexit deal as early as next week,,,,
48,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://nds-nl.wikipedia.org/wiki/Boris_Johnson,Boris Johnson is ne achterkleinsöäne van Ali Kemal,,,,
49,duckduckgo,Boris Johnson,Boris Johnson&#x27;s children - how many kids does the PM have and who are they?,https://www.thesun.co.uk/news/9322111/boris-johnson-children-love-child/,BORIS Johnson is the UK&#x27;s current Prime Minister and is thought to be the father of five children. Four of his kids are from his marriage to high-flying barrister Marina Wheeler and his fifth child is with a former mistress. Here is what we know about them.,150,,,
51,duckduckgo,Boris Johnson,Boris Johnson dealt blow as Brexit rebels vote to seize control - CNN,https://edition.cnn.com/uk/live-news/boris-johnson-brexit-parliament-tuesday-dle-gbr-intl/index.html,UK lawmakers opposed to a no-deal Brexit dealt Boris Johnson a blow by voting to seize control of Parliament on Wednesday,,,,
52,duckduckgo,Boris Johnson,Johnson,,,,,,
53,duckduckgo,Boris Johnson,Boris Johnson&#x27;s &#x27;shocking&#x27; language in parliament has ruined chances of ...,https://www.independent.co.uk/news/uk/politics/boris-johnson-brexit-latest-today-deal-diane-abbott-jo-cox-language-a9120911.html,Diane Abbott has insisted Boris Johnson&#x27;s &quot;shocking&quot; performance in the Commons has put off MPs from offering cross-party support to a Brexit deal. Referring to Labour MPs who were contemplating backing the prime minister should he eventually return a deal next month,,,,
55,duckduckgo,Boris Johnson,Boris Johnson announces suspension of UK parliament - POLITICO,https://www.politico.eu/article/boris-johnson-to-suspend-parliament-in-run-up-to-brexit-reports/,Boris Johnson announces suspension of UK parliament. The move will reduce the amount of time MPs have to try to block a no-deal Brexit. By Emilio Casalicchio. 8/28/19,,,,
57,duckduckgo,Boris Johnson,World&#x27;s Best Boris Johnson Stock Pictures,,,,,,
58,duckduckgo,Boris Johnson,Boris Johnson: Britain&#x27;s New PM Was Born in New York City and Was a U.S ...,https://www.newsweek.com/boris-johnson-us-citizen-irs-born-new-york-1449974,Boris Johnson,,,,
59,duckduckgo,Boris Johnson,All the times Boris Johnson flat-out lied | inews,https://inews.co.uk/news/uk/times-boris-johnson-flat-lied,Boris Johnson was one of the most frequent and enthusiastic passengers on Vote Leave&#x27;s now infamous Brexit bus,,,,
61,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,,,,,,
63,duckduckgo,Boris Johnson,TOP 25 QUOTES BY BORIS JOHNSON (of 98) | A-Z Quotes,https://www.azquotes.com/author/7482-Boris_Johnson,&quot;EU debate: Boris Johnson says Brexit will be &#x27;Britain&#x27;s independence day&#x27; as Ruth Davidson attacks &#x27;lies&#x27; of Leave campaign in front of 6,,,,
64,duckduckgo,Boris Johnson,Boris Johnson - latest news and updates on the British Prime Minister,https://metro.co.uk/tag/boris-johnson/,Latest news on Boris Johnson,,,,
65,duckduckgo,Boris Johnson,Boris Johnson - The Telegraph,https://www.telegraph.co.uk/boris-johnson/,Boris Johnson cannot get a majority unless he delivers Brexit on October 31,,,,
