result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Boris Johnson,Boris Johnson - Wikipedia,https://en.wikipedia.org/wiki/Boris_Johnson,,1210000,,,
1,bing,Boris Johnson,Boris Johnson | Biography,,,, New York, U.S.)," American-born British journalist and Conservative Party politician who became prime minister of the United Kingdom in July 2019.""	1210000"
2,bing,Boris Johnson,Boris Johnson (@BorisJohnson) | Twitter,https://twitter.com/borisjohnson,,1210000,,,
3,bing,Boris Johnson,Boris Johnson | Fox News,https://www.foxnews.com/category/person/boris-johnson,"Boris Johnson tells the UN Brexit is like having one""s liver pecked out by an eagle for all eternity British Prime Minister Boris Johnson on Tuesday equated his country’s impending departure from...",1210000,,,
4,bing,Boris Johnson,Boris Johnson - latest news,,,,,,
5,bing,Boris Johnson,Boris Johnson - BBC News,https://www.bbc.com/news/topics/c8nq32jw8r1t/boris-johnson,"The source says Germany""s Angela Merkel was highly pessimistic in a call with Boris Johnson",,,,
6,bing,Boris Johnson,Boris Johnson - famechain.com,https://www.famechain.com/family-tree/11347/boris-johnson,"Boris Johnson""s former partners: Boris Johnson""s former wife is Marina Johnson QC Boris Johnson had an affair with Helen MacIntyre Boris Johnson allegedly had a romance with Petsy Wyatt Boris Johnson""s former wife is Allegra Mostyn-Owen",1210000,,,
7,bing,Boris Johnson,Boris Johnson Biography - Facts,,,,,,
8,bing,Boris Johnson,Boris Johnson’s ultimatum: back me or face 14 October ...,https://www.theguardian.com/politics/2019/sep/02/boris-johnson-threatens-to-ignore-mps-on-no-deal-brexit,Sep-02,,,,
9,bing,Boris Johnson,Boris Johnson – Wikipedia,https://sv.wikipedia.org/wiki/Boris_Johnson,Biografi. Boris Johnson föddes på Manhattan i New York i USA,,,,
10,bing,Boris Johnson,Boris Johnson News: Latest UK Prime Minister Updates ...,https://www.dailymail.co.uk/news/boris_johnson/index.html,"Latest Boris Johnson news on the UK Prime Minister and his no deal Brexit plans plus more on Conservative Party leader""s girlfriend Carrie Symonds.",1210000,,,
11,bing,Boris Johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO ...,https://www.youtube.com/watch?v=dXyO_MC9g3k,Jul-28,,,,
12,bing,Boris Johnson,Boris Johnson could be the last prime minister of the ...,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
13,bing,Boris Johnson,Boris Johnson Biography - Facts,,,,,,
14,bing,Boris Johnson,Boris Johnson has four options to escape his Brexit mess ...,https://www.washingtonpost.com/world/europe/boris-johnson-has-four-options-to-escape-his-brexit-mess-one-of-them-is-to-go-to-jail/2019/09/08/1b56d7bc-d1ba-11e9-a620-0a91656d7db6_story.html,LONDON — Boris Johnson is seemingly out of options. The British prime minister desperately wants a new election to break loose the Gordian knot that is Brexit. His opponents rejected that motion ...,1210000,,,
15,bing,Boris Johnson,Boris Johnson Net Worth 2019: Money,,,,,,
16,bing,Boris Johnson,TOP 25 QUOTES BY BORIS JOHNSON (of 98) | A-Z Quotes,https://www.azquotes.com/author/7482-Boris_Johnson,"""Boris casts his vote: ""Spectator"" editor tells ""Desert Island Discs"" he""ll quit to spend more time with David Cameron"". Francis Elliott",,,,
17,bing,Boris Johnson,Boris Johnson - famechain.com,https://www.famechain.com/family-tree/11347/boris-johnson,"Boris Johnson""s former partners: Boris Johnson""s former wife is Marina Johnson QC Boris Johnson had an affair with Helen MacIntyre Boris Johnson allegedly had a romance with Petsy Wyatt Boris Johnson""s former wife is Allegra Mostyn-Owen",1210000,,,
18,bing,Boris Johnson,Boris Johnson could be the last prime minister of the ...,https://edition.cnn.com/2019/08/03/uk/boris-johnson-end-of-the-union-analysis-intl-gbr/index.html,Aug-03,,,,
19,bing,Boris Johnson,Boris Johnson: Last Week Tonight with John Oliver (HBO ...,https://www.youtube.com/watch?v=dXyO_MC9g3k,Jul-29,,,,
20,bing,Boris Johnson,"Boris Johnson""s explosive attack at Corbyn - YouTube",https://www.youtube.com/watch?v=CKvzELXosVw,Jul-25,,,,
21,bing,Boris Johnson,Boris Johnson second wife: Why is Boris divorcing Marina ...,https://www.thesun.co.uk/news/3760688/marina-wheeler-boris-johnson-wife-lawyer-children/,Oct-01,,,,
22,bing,Boris Johnson,Boris Johnson – Wikipedia,https://sv.wikipedia.org/wiki/Boris_Johnson,Biografi. Boris Johnson föddes på Manhattan i New York i USA,,,,
23,bing,Boris Johnson,Boris Johnson (@borisjohnsonmp) • Instagram photos and videos,https://www.instagram.com/borisjohnsonmp/,222.6k Followers,,,,
24,bing,Boris Johnson,Stanley Johnson (writer) - Wikipedia,https://en.wikipedia.org/wiki/Stanley_Johnson_(writer),Stanley Patrick Johnson (born 18 August 1940 in Penzance) is a British author and former politician. He has written books on environmental and population issues. He was a Conservative MEP for Wight and Hampshire East from 1979 to 1984 and is a former employee of the World Bank and the European Commission.. His six children include Boris Johnson…,1210000,,,
25,bing,Boris Johnson,Boris Johnson Faces a New Scandal,,,,,,
26,bing,Boris Johnson,Jo Johnson,,,,,,
27,bing,Boris Johnson,Boris Johnson – Grrr Graphics,https://grrrgraphics.com/boris-johnson,"Time to spiffy up Boris! Boris Johnson will be appointed Britain""s next Prime Minister on Wednesday. We now have two ‘orange man’ leaders in the west. In addition to President Trump",,,,
28,bing,Boris Johnson,"Brexit: Boris Johnson""s second attempt to trigger election ...",https://www.bbc.com/news/uk-politics-49630094,Sep-10,,,,
29,bing,Boris Johnson,"Boris Johnson: The Definitive Guide To Who""s Who In The ...",https://www.buzzfeed.com/alexwickham/boris-johnson-downing-street-advisers,Jul-30,,,,
30,bing,Boris Johnson,Boris Johnson – Ethnicity of Celebs | What Nationality ...,https://ethnicelebs.com/boris-johnson,May-16,,,,
31,bing,Boris Johnson,"Boris Johnson ""glad"" angry father confronted him during ...",https://news.sky.com/story/boris-johnson-glad-angry-patient-confronted-him-during-hospital-visit-11813046,Sep-19,,,,
32,bing,Boris Johnson,Boris Johnson Facts for Kids,https://kids.kiddle.co/Boris_Johnson,Alexander Boris de Pfeffel Johnson MP (born 19 June 1964) is a British politician and journalist. He is Prime Minister of the United Kingdom and has been Leader of the Conservative Party since 23 July 2019. Johnson,,,,
33,bing,Boris Johnson,What is the IQ of Boris Johnson? - Quora,https://www.quora.com/What-is-the-IQ-of-Boris-Johnson,Jul-15,,,,
34,bing,Boris Johnson,Boris Johnson,,,,,,
35,bing,Boris Johnson,Why Boris Johnson Is Renouncing His American Citizenship,https://www.theatlantic.com/international/archive/2015/02/boris-Johnson-renounces-us-citizenship-tax-bill-mayor-london/385554/,Feb-17,,,,
36,bing,Boris Johnson,Boris Johnson – Wikipedia,https://fi.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (s.19. kesäkuuta 1964 New York City,,,,
37,bing,Boris Johnson,Boris Johnson | Know Your Meme,https://knowyourmeme.com/memes/people/boris-johnson,Boris Johnson is a conservative English politician who currently servers as a Member of Parliament for the Uxbridge and South Ruislip constituency in the United Kingdom and formerly served as Mayor of London from 2008 to 2016.,1210000,,,
38,bing,Boris Johnson,The Boris Johnson archive - The Telegraph,https://www.telegraph.co.uk/boris-johnson-archive/,Boris Johnson has taken on many topics in his regular Telegraph column which readers have loved over the years. Now he has taken up residence in Number 10 as Prime Minister,,,,
39,bing,Boris Johnson,Amazon.com: The Churchill Factor: How One Man Made History ...,https://www.amazon.com/Churchill-Factor-How-Made-History/dp/1594633983,From London’s inimitable mayor,,,,
