result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,324000000,,,
1,bing,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable achievements of the past. His...,324000000,,,
2,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",324000000,,,
3,bing,Donald Trump,Donald Trump | US news | The Guardian,https://www.theguardian.com/us-news/donaldtrump,The latest news,,,,
4,bing,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,President of the United States,,,,
5,bing,Donald Trump,Donald Trump News & Videos - ABC News - ABC News,https://abcnews.go.com/alerts/donald-trump,Follow the latest Donald Trump news stories and headlines. Get breaking news alerts when you download the ABC News App and subscribe to Donald Trump notifications.,324000000,,,
6,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,,324000000,,,
7,bing,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Oct-09,,,,
8,bing,Donald Trump,Trump,,,,,,
9,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,324000000,,,
10,bing,Donald Trump,Donald Trump news,,,,,,
11,bing,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,"Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the nation""s history.",324000000,,,
12,bing,Donald Trump,Donald Trump | US news | The Guardian,https://www.theguardian.com/us-news/donaldtrump,The latest news,,,,
13,bing,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,President of the United States,,,,
14,bing,Donald Trump,Donald Trump - latest news,,,,,,
15,bing,Donald Trump,Donald Trump - HISTORY,https://www.history.com/topics/us-presidents/donald-trump,Mar-07,,,,
16,bing,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump,Donald J. Trump,,,,
17,bing,Donald Trump,Rallies | Donald J. Trump for President,https://www.donaldjtrump.com/rallies/,Help continue our promise to Make America Great Again!,324000000,,,
18,bing,Donald Trump,Donald Trump Jr. (@DonaldJTrumpJr) | Twitter,https://twitter.com/donaldjtrumpjr,Mar-08,,,,
19,bing,Donald Trump,YouTube,https://www.youtube.com/,Enjoy the videos and music you love,,,,
20,bing,Donald Trump,Donald Trump - U.S. Presidency,,,,,,
21,bing,Donald Trump,Official Trump Store | Brand New Merchandise – Trump Make ...,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,324000000,,,
22,bing,Donald Trump,Donald Trump | Biography & Facts | Britannica.com,https://www.britannica.com/biography/Donald-Trump,Donald Trump,," and residential properties in the New York City area and around the world.""	324000000",,
23,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,324000000,,,
24,bing,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Donald Trump. Coverage of the 45th president of the United States,,,,
25,bing,Donald Trump,Donald Trump confirms he delayed aid for Ukraine,,,,,,
26,bing,Donald Trump,"Donald Trump tweet: Greta Thunberg seems like ""a happy ...",https://www.usatoday.com/story/news/politics/2019/09/24/donald-trump-tweet-greta-thunberg-seems-like-a-happy-young-girl/2426440001/,Sep-23,,,,
27,bing,Donald Trump,Donald Trump Is Not Well - The Atlantic,https://www.theatlantic.com/ideas/archive/2019/09/donald-trump-not-well/597640/,Sep-09,,,,
28,bing,Donald Trump,Donald J Trump Podcast,https://trump.podbean.com/,Learn of the many accomplishments of President Trump that often go unreported by the Fake News Media as he continues to Make America Great Again.,324000000,,,
29,bing,Donald Trump,"Donald Trump""s Net Worth in 2019 | Wealthy Gorilla",https://wealthygorilla.com/donald-trump-net-worth/,Donald Trump is the 45th president of the United States of America,,,,
30,bing,Donald Trump,Hats – Trump Make America Great Again Committee,https://shop.donaldjtrump.com/collections/headwear,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,324000000,,,
31,bing,Donald Trump,23 Incredible Photos of Young Donald Trump Through the Years,http://www.fullredneck.com/23-pictures-young-donald-trump-as-a-kid/,"It""s almost hard to imagine Donald Trump as a kid given his cutthroat attitude running multiple businesses for so many years",,,,
32,bing,Donald Trump,President Donald Trump - Public Schedule Calendar | Factbase,https://factba.se/topic/calendar,"Donald Trump - President""s Public Schedule. Available as a Google Calendar Schedule updates at midnight Eastern Time",,,,
33,bing,Donald Trump,Was Donald Trump at Ground Zero Searching for Survivors ...,https://www.snopes.com/fact-check/trump-searching-911-survivors/,Sep-11,,,,
34,bing,Donald Trump,Donald Trump Ripped As ‘Crass’ For Comments About Cokie ...,https://www.huffpost.com/entry/donald-trump-cokie-roberts-comments-anger_n_5d81ce98e4b070d468c3a6be,Sep-18,,,,
35,bing,Donald Trump,Donald Trump House Photos - Pictures of All of Donald ...,https://www.townandcountrymag.com/leisure/real-estate/news/a9285/donald-trump-house-photos/,Aug-15,,,,
36,bing,Donald Trump,A Psychologist Analyzes Donald Trump’s Personality - The ...,https://www.theatlantic.com/magazine/archive/2016/06/the-mind-of-donald-trump/480771/,In 2006,,,,
37,bing,Donald Trump,President Donald J. Trump - Home | Facebook,https://www.facebook.com/potus/,President Donald J. Trump. 2.8M likes. 45th President of the United States. Working on behalf of the American people to make our country great again....,324000000,,,
38,bing,Donald Trump,Donald Trump: Latest News,,,,,,
39,bing,Donald Trump,Donald Trump’s Latest L.A. Fundraisers Raise Traffic Red ...,https://deadline.com/2019/09/donald-trump-los-angeles-visit-traffic-beverly-hills-fundraiser-1202736927/,Sep-17,,,,
40,bing,Donald Trump,The Whistleblower Complaint About Donald Trump,,,,,,
41,bing,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,,
42,bing,Donald Trump,"Donald Trump""s Success Story",https://www.investopedia.com/updates/donald-trump-success-story/,Jul-07,,,,
43,bing,Donald Trump,Donald Trump Biography - Facts,,,,,,
44,bing,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Trump Again Attacks Teenage Climate Activist Greta Thunberg,,,,
45,bing,Donald Trump,Donald Trump - Biography - IMDb,https://www.imdb.com/name/nm0874339/bio,Donald John Trump was born on June 14,,,,
46,bing,Donald Trump,Donald Trump Jr. & Kimberly Guilfoyle Reportedly Engaged ...,https://hollywoodlife.com/2018/07/26/donald-trump-jr-kimberly-guilfoyle-engaged-ring-pic/,After dating for a hot minute,,,,
47,bing,Donald Trump,Donald Trump | News,,,,,,
48,bing,Donald Trump,Donald Trump Quotes - BrainyQuote,https://www.brainyquote.com/authors/donald-trump-quotes,Enjoy the best Donald Trump Quotes at BrainyQuote. Quotations by Donald Trump,,,,
49,bing,Donald Trump,Donald Trump Business Bankruptcies - List and Reasons,https://www.thoughtco.com/donald-trump-business-bankruptcies-4152019,The Plaza Casino was one of two Trump casinos in Atlantic City to enter bankruptcy in March 1992. The other was the Castle Hotel &amp; Casino. The 39-story,,,,
50,bing,Donald Trump,"Is This Donald Trump""s Intelligence Quotient?",https://www.snopes.com/fact-check/donald-trumps-intelligence-quotient/,Dec-07,,,,
51,bing,Donald Trump,Donald Trump: Latest News,,,,,,
52,bing,Donald Trump,"Donald Trump Jr. Will Run For President in 2024 and He""ll ...",https://www.newsweek.com/donald-trump-jr-will-run-president-2024-hell-likely-win-republican-nomination-gop-strategist-1457953,Republican political strategist Rick Wilson predicted that Donald Trump Jr.,,,,
53,bing,Donald Trump,Kimberly Guilfoyle,,,,,,
54,bing,Donald Trump,Trump Impeachment Inquiry | Fox News,https://www.foxnews.com/category/politics/trump-impeachment-inquiry,Marie Yovanovitch,,,,
55,bing,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,,
56,bing,Donald Trump,Donald Trump didn’t donate $1 million to Hurricane Dorian ...,https://www.politifact.com/facebook-fact-checks/statements/2019/sep/10/facebook-posts/donald-trump-didnt-donate-1-million-hurricane-dori/,Donald Trump didn’t donate $1 million to Hurricane Dorian victims in the Bahamas. By Daniel Funke on Tuesday,,,,
57,bing,Donald Trump,Donald Trump Targets Chrissy Teigen and John Legend ...,https://people.com/politics/donald-trump-attacks-chrissy-teigen-john-legend-tweets/,Sep-09,,,,
58,bing,Donald Trump,Donald Trump Tickets,,,, tonight, this weekend," summer""	324000000"
59,bing,Donald Trump,List and Summary of Donald Trump Scandals - ThoughtCo,https://www.thoughtco.com/trump-scandals-4142784,"It didn""t take long for Donald Trump""s presidency to become mired in scandal and controversy. The list of Donald Trump scandals grew long soon after he took office in January 2017.Some had their roots in his use of social media to insult or attack political enemies and foreign leaders.Others involved a revolving door of staffers and senior officials who either quick or were fired.",324000000,,,
60,bing,Donald Trump,Trump: The Art of the Deal: Donald J. Trump,,,,,,
61,bing,Donald Trump,Right Side Broadcasting Network- Trump Rally Live Streams ...,https://rsbnetwork.com/,Oct-08,,,,
62,bing,Donald Trump,Donald Trump sibling bios: Judge sister,,,,,,
63,bing,Donald Trump,Donald Trump Jr. - Biography,https://www.biography.com/personality/donald-trump-jr,Jul-10,,,,
64,bing,Donald Trump,"Donald Trump""s file | PolitiFact",https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,,
65,bing,Donald Trump,Donald Trump Used A Sharpie To Alter The Weather Map ...,https://deadline.com/2019/09/donald-trump-used-a-sharpie-to-alter-weather-map-claim-trevor-noah-stephen-colbert-1202711260/,“I’m impressed Trump can locate Alabama on a map,,,,
66,bing,Donald Trump,Amazon.com: Donald Trump,https://www.amazon.com/Donald-Trump/s?k=Donald+Trump,President Predicto - Donald Trump Fortune Teller Ball - The Greatest Way to Discover Your Future - Ask a YES or NO Question &amp; Trump Speaks the Answer - Like a Next Generation Magic 8 Ball – Funny Gift,324000000,,,
67,bing,Donald Trump,Donald Trump Articles - Breitbart,https://www.breitbart.com/tag/donald-trump/,Oct-10,,,,
68,bing,Donald Trump,"Barron Trump Facts - Melania Trump""s Son""s Age",,,,,,
69,bing,Donald Trump,Donald Trump - apnews.com,https://apnews.com/DonaldTrump,Oct-10,,,,
70,bing,Donald Trump,Donald Trump | Yahoo Lifestyle,https://www.yahoo.com/lifestyle/tagged/donald-trump/,Trump-supporting Ms. Nevada claims she was stripped of title because of her conservative views. The winner of Ms. Nevada 2019,,,,
71,bing,Donald Trump,Who is Donald Trump? Bio,,,,,,
72,bing,Donald Trump,Donald Trump | Financial Times,https://www.ft.com/donald-trump,We use cookies for a number of reasons,,,,
73,bing,Donald Trump,Donald J. Trump - Official Site,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,324000000,,,
74,bing,Donald Trump,Donald Trump Archives - FactCheck.org,https://www.factcheck.org/person/donald-trump/,President Donald Trump has repeatedly accused Hunter Biden,,,,
75,bing,Donald Trump,Opinion: Donald Trump is a walking punch line. Democrats ...,https://www.latimes.com/opinion/story/2019-09-20/donald-trump-comedy-memes-jokes,Sep-22,,,,
76,bing,Donald Trump,Donald Trump - Wikipedia,,,,,,
77,bing,Donald Trump,"Donald Trump""s Policies - PolitiPlatform",https://www.politiplatform.com/trump,View a list of all of the platform policies made by presidential candidate Donald Trump running in the 2016 election.,324000000,,,
78,bing,Donald Trump,"Donald Trump""s Interview With TIME on 2020: Transcript | Time",https://time.com/5611476/donald-trump-transcript-time-interview/,Jun-20,,,,
