result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,"Thunberg then said the prize equally belongs to everyone who has taken part in the Fridays for Future Movement in school strike for climate. The activist said the award is ""for all those millions of people",,,
1,google,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,,
2,google,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg. 2442731 likes · 294686 talking about this. 16 year old climate and environmental activist with Asperger's #fridaysforfuture.,142000000,n/a,n/a
3,google,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and ...,https://www.instagram.com/gretathunberg/?hl=en,7.5m Followers,,,
4,google,Greta Thunberg,Iowa teacher resigns after Greta Thunberg 'sniper rifle' comment,https://www.usatoday.com/story/news/nation/2019/10/11/iowa-teacher-resigns-after-greta-thunberg-sniper-rifle-comment/3950995002/,Science teacher Matt Baish had been placed on administrative leave after posting \,142000000,18 hours ago ,1570848583
5,google,Greta Thunberg,Greta Thunberg | The Guardian,https://www.theguardian.com/profile/greta-thunberg,Greta Thunberg is a climate activist from Stockholm,,,
6,google,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg,,,
7,google,Greta Thunberg,'If they don't do it,,,,,
8,google,Greta Thunberg,Greta Thunberg Says Friday Climate Strike Will Go on for 'As ...,https://www.newsweek.com/greta-thunberg-friday-climate-strike-world-leaders-1464823,"""The world is waking up and we are the change. And change is coming whether you like it or not",,,
9,google,Greta Thunberg,Greta Thunberg - latest news,,,,,
10,google,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,Greta Thunberg is leading kids and adults from 150 countries in a massive Friday climate strike. The international protest comes ahead of the ...,142000000,Sep-20,
11,google,Greta Thunberg,Greta Thunberg to world leaders: 'How dare you – you have ...,https://www.theguardian.com/environment/video/2019/sep/23/greta-thunberg-to-world-leaders-how-dare-you-you-have-stolen-my-dreams-and-my-childhood-video,'You have stolen my dreams and my childhood with your empty words,,,
12,google,Greta Thunberg,How 16-year-old Greta Thunberg became the face of climate ...,https://www.businessinsider.com/greta-thunberg-bio-climate-change-activist-2019-9,Greta Thunberg has met with world leaders,,,
13,google,Greta Thunberg,Greta Thunberg Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567758/greta-thunberg/,Teen climate activist Greta Thunberg is one of the most influential people of 2019,,,
14,google,Greta Thunberg,Greta Thunberg To U.S.: 'You Have A Moral Responsibility' On ...,https://www.npr.org/2019/09/13/760538254/greta-thunberg-to-u-s-you-have-a-moral-responsibility-on-climate-change,Swedish activist Greta Thunberg,,,
15,google,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,"15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: ""My name is Greta ...",142000000,n/a,n/a
16,google,Greta Thunberg,Why is Greta Thunberg so triggering for certain men?,https://www.irishtimes.com/life-and-style/people/why-is-greta-thunberg-so-triggering-for-certain-men-1.4002264,Climate activist Greta Thunberg was in attendance as US president Donald Trump arrived at the United ...,142000000,n/a,n/a
17,google,Greta Thunberg,Speeches by Greta Thunberg - FridaysForFuture,https://www.fridaysforfuture.org/greta-speeches,Greta Thunberg speech at the National Assembly in Paris 2019-07-23 ... Greta Thunberg challenging The World Economic Forum in Davos - January 22 2019,142000000,n/a,n/a
