result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
0,bing,Greta Thunberg,Greta Thunberg - Wikipedia,https://en.wikipedia.org/wiki/Greta_Thunberg,,7790000,,,
1,bing,Greta Thunberg,Greta Thunberg (@gretathunberg) • Instagram photos and videos,https://www.instagram.com/gretathunberg/,,7790000,,,
2,bing,Greta Thunberg,Greta Thunberg - Home | Facebook,https://www.facebook.com/gretathunbergsweden/,Greta Thunberg 23 hrs · ‪The last two days Tokata Iron Eyes and I visited Takini School,,,,
3,bing,Greta Thunberg,Greta Thunberg Age,,,," Svante Thunberg…""	7790000",,
4,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,
5,bing,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,Mar-11,,,,
6,bing,Greta Thunberg,Greta Thunberg: 5 Fast Facts You Need to Know | Heavy.com,https://heavy.com/news/2018/12/greta-thunberg/,Greta Thunberg is a Swedish climate activist. In Poland last week at the COP24 climate talks,,,,
7,bing,Greta Thunberg,Greta Thunberg,,,,,,
8,bing,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 ...,https://www.youtube.com/watch?v=VFkQSGyeCWg,Dec-15,,,,
9,bing,Greta Thunberg,Greta Thunberg Age,,,,,,
10,bing,Greta Thunberg,Greta Thunberg - Simple English Wikipedia,,,,,,
11,bing,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,,,
12,bing,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,— Greta Thunberg (@GretaThunberg) August 14,,,,
13,bing,Greta Thunberg,Greta Thunberg - Wikiquote,https://en.wikiquote.org/wiki/Greta_Thunberg,Greta Thunberg (born 3 January 2003) is a Swedish climate activist. In August 2018,,,,
14,bing,Greta Thunberg,Greta Thunberg Quotes,https://www.quotes.net/authors/Greta+Thunberg,Greta Thunberg. Greta Thunberg (born 3 January 2003) is a Swedish climate activist. She is known for striking outside the Swedish parliament building to raise climate change activism. Update this biography » Complete biography of Greta Thunberg »,7790000,,,
15,bing,Greta Thunberg,25 of Greta Thunberg’s Best Quotes - Climate Change,https://www.curious.earth/blog/greta-thunberg-quotes-best-21,Greta Thunberg is a 16-year old climate activist from Sweden. A school girl with autism,,,,
16,bing,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Aug-29,,,,
17,bing,Greta Thunberg,The problem with Greta Thunberg’s sea crossings ...,https://spectator.us/problem-greta-thunberg-sea-crossings/,Aug-28,,,,
18,bing,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,May-16,,,,
19,bing,Greta Thunberg,Greta Thunberg arrives in New York after 15-day yacht ...,https://www.cnn.com/2019/08/28/us/greta-thunberg-new-york-landfall-scli-intl/index.html,Aug-28,,,,
20,bing,Greta Thunberg,Greta Thunberg: The disarming case to act right now on ...,https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate,In this passionate call to action,,,,
21,bing,Greta Thunberg,Greta Thunberg Arrives in New York After Sailing Across ...,https://time.com/5663534/greta-thunberg-arrives-sail-atlantic/,Aug-28,,,,
22,bing,Greta Thunberg,The Manufacturing of Greta Thunberg - for Consent: The ...,http://www.wrongkindofgreen.org/2019/01/17/the-manufacturing-of-greta-thunberg-for-consent-the-political-economy-of-the-non-profit-industrial-complex/,— Greta Thunberg,,,,
23,bing,Greta Thunberg,"How Greta Thunberg""s rise could backfire on environmentalists",https://www.cnbc.com/2019/09/24/how-greta-thunbergs-rise-could-backfire-on-environmentalists.html,Sep-24,,,,
24,bing,Greta Thunberg,Greta Thunberg Articles - Breitbart,https://www.breitbart.com/tag/greta-thunberg/,Greta Thunberg joined a large crowd of young people skipping school in Iowa City,,,,
25,bing,Greta Thunberg,Why Greta Thunberg can capture our attention on climate.,https://slate.com/technology/2019/09/greta-thunberg-climate-activism-scares-the-right-and-the-left.html,Swedish climate activist Greta Thunberg poses for a photograph on board the Malizia II sailing yacht in Plymouth,,,,
26,bing,Greta Thunberg,Who is Greta Thunberg? — Steemit,https://steemit.com/gretathunberg/@kiligirl/who-is-greta-thunberg,Greta Thunberg; born 3 January 2003) is a Swedish climate activist. In August 2018,,,,
27,bing,Greta Thunberg,Who is Greta Thunberg and what does she have to say?,https://iknowwaste.com/greta-thunberg-climate-change-strike/,Dec-05,,,,
28,bing,Greta Thunberg,8 Things You Need To Know About Greta Thunberg,,,,,,
29,bing,Greta Thunberg,Greta Thunberg is an embarrassment to all the jet-setting ...,https://nypost.com/2019/08/30/greta-thunberg-is-an-embarrassment-to-all-the-jet-setting-climate-activists/,We’re not huge fans of Greta Thunberg’s message,,,,
30,bing,Greta Thunberg,Opinion | The Problem With Greta Thunberg’s Climate ...,https://www.nytimes.com/2019/08/02/opinion/climate-change-greta-thunberg.html,Aug-02,,,,
31,bing,Greta Thunberg,Quote of the Week: Greta Thunberg claims to be able to ...,https://wattsupwiththat.com/2019/05/02/quote-of-the-week-greta-thunberg-claims-to-be-able-to-see-carbon-dioxide-in-the-air/,May-02,,,,
32,bing,Greta Thunberg,Greta Thunberg – Wikipédia,,,,,,
33,bing,Greta Thunberg,"How green is Greta Thunberg""s transatlantic trip? | UK ...",https://news.sky.com/story/greta-thunberg-is-her-transatlantic-trip-really-that-green-11784480,Aug-14,,,,
34,bing,Greta Thunberg,"""How Dare You!"": Greta Thunberg Rages at ""Fairytales of ...",https://www.commondreams.org/news/2019/09/23/how-dare-you-greta-thunberg-rages-fairytales-eternal-economic-growth-un-climate,Sep-23,,,,
35,bing,Greta Thunberg,Greta Thunberg Gifts & Merchandise | Redbubble,https://www.redbubble.com/shop/greta+thunberg,High quality Greta Thunberg inspired T-Shirts,,,,
36,bing,Greta Thunberg,Greta Thunberg,,,,,,
37,bing,Greta Thunberg,Teen climate crusader Greta Thunberg completes carbon-free ...,https://www.foxnews.com/science/teen-climate-crusader-greta-thunberg-completes-carbon-free-voyage-by-yacht-from-europe-to-new-york-city,"Teenage climate activist Greta Thunberg arrived in New York City on Wenesday after a 15-day trip by yacht from England. ""The trip was surprisingly good; I did not feel seasick once",,,,
38,bing,Greta Thunberg,Greta Thunberg T-Shirts | Redbubble,https://www.redbubble.com/shop/greta+thunberg+t-shirts,High quality Greta Thunberg inspired T-Shirts by independent artists and designers from around the world.All orders are custom made and most ship worldwide within 24 hours.,7790000,,,
39,bing,Greta Thunberg,Greta Thunberg to climate-focused UN: ‘You have stolen my ...,https://www.marketwatch.com/story/greta-thunberg-to-climate-focused-un-you-have-stolen-my-childhood-with-empty-words-2019-09-23,Sep-23,,,,
40,bing,Greta Thunberg,Greta Thunberg Bio,,,,2003, Greta Thunberg is a Swedish political activist who rose to fame for starting the first school strike for climate outside the Swedish parliament building. In December 2018," she addressed the United Nations Climate Change Conference and in January 2019 she was invited to talk to the World Economic Forum at Davos.""	7790000"
41,bing,Greta Thunberg,"George Soros is Backing ""Climate activist"" Greta Thunberg",https://www.bibliotecapleyades.net/ciencia3/ciencia_climatechange147.htm,Greta Thunberg is now 16-years old and the daughter of famous opera singer and left-liberal activist Marlena Ernman (above image),,,,
42,bing,Greta Thunberg,Why Greta Thunberg Makes Adults Uncomfortable - The Atlantic,https://www.theatlantic.com/science/archive/2019/09/why-greta-wins/598612/,Sep-23,,,,
43,bing,Greta Thunberg,"Greta Thunberg""s Transatlantic Sailing Trip Is Seriously ...",https://cleantechnica.com/2019/08/22/greta-thunbergs-transatlantic-sailing-trip-is-seriously-carbon-neutral/,UN Secretary-General António Guterres meets with Greta Thunberg,,,,
44,bing,Greta Thunberg,Greta Thunberg - BBC News,https://www.bbc.com/news/topics/cwmrxq94v1jt/greta-thunberg,"Vladimir Putin criticises Greta Thunberg""s UN speech on climate change Russian president Vladimir Putin said there was a need to be ""realistic"" about renewable energy.",7790000,,,
45,bing,Greta Thunberg,"Climate Activist Greta Thunberg and ""The Greta Effect""",https://interestingengineering.com/swedish-climate-activist-greta-thunberg-and-the-greta-thunberg-effect,"Swedish Climate Activist Greta Thunberg and the ""Greta Thunberg Effect"" A 16-year-old Swedish girl with braids is on Time Magazine""s cover",,,,
46,bing,Greta Thunberg,George Soros is backing Greta Thunberg | Free West Media,https://freewestmedia.com/2019/04/24/george-soros-is-backing-greta-thunberg/,Greta Thunberg is now 16-years old and the daughter of famous opera singer and left-liberal activist Marlena Ernman,,,,
47,bing,Greta Thunberg,"Why Greta Thunberg doesn""t deserve a Nobel - spiked",https://www.spiked-online.com/2019/03/22/why-greta-thunberg-doesnt-deserve-a-nobel/,Greta Thunberg – the stern 16-year-old voice and face of the recent school climate-strike movement – has been nominated for the Nobel Peace Prize. Thunberg first made headlines when she ...,7790000,,,
48,bing,Greta Thunberg,Greta Thunberg’s Slow Boat to New York | The New Yorker,https://www.newyorker.com/magazine/2019/09/09/greta-thunbergs-slow-boat-to-new-york,Greta Thunberg’s Slow Boat to New York A crowd of young eco-warriors and international media greeted the teen-age climate activist as she sailed into town on a carbon-neutral boat to attend a ...,7790000,,,
49,bing,Greta Thunberg,Who Is Greta Thunberg? 15 Inspirational Quotes From The 16 ...,https://www.yourtango.com/2019325009/who-greta-thunberg-quotes-climate-change-activist,Jun-07,,,,
50,bing,Greta Thunberg,#GretaThunberg hashtag on Twitter,https://twitter.com/hashtag/GretaThunberg,Greta Thunberg Verified account @GretaThunberg. When haters go after your looks and differences,,,,
