result #,search engine,query,article title,article url,article description,total nr of results (best guess),
65,duckduckgo,Greta Thunberg,Let them sail yachts: Why Greta Thunberg and the environmental elite ...,https://www.rt.com/news/465501-greta-thunberg-hates-you/,Swedish climate activist Greta Thunberg will sail across the Atlantic by boat to attend two climate conferences. But the teenager&#x27;s carbon-neutral odyssey reveals the disregard - even contempt - the elite have for the rest of us.,100,
66,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,https://hu.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg (2003. január 3. -) svéd diáklány,,
67,duckduckgo,Greta Thunberg,Teen Activist Greta Thunberg on the Climate Change Fight,https://time.com/collection-post/5584902/greta-thunberg-next-generation-leaders/,But nothing is impossible for Thunberg,,
68,duckduckgo,Greta Thunberg,Greta Thunberg faces a storm of criticism in her sailing journey to ...,https://www.washingtonpost.com/world/2019/08/15/swedish-climate-activist-greta-thunberg-is-sailing-america-amid-storm-criticism/,Aug-15,,
69,duckduckgo,Greta Thunberg,Greta Thunberg - Simple English Wikipedia,,,,
70,duckduckgo,Greta Thunberg,A Fox News guest called Greta Thunberg &#x27;mentally ill.&#x27; The network ...,https://www.msn.com/en-us/news/us/a-fox-news-guest-called-greta-thunberg-mentally-ill-the-network-apologized-for-the-disgraceful-comment/ar-AAHLGSH,The 16-year-old Swedish climate activist Greta Thunberg crossed the Atlantic via racing yacht instead of flying by plane to join protests and a United Nations summit in the United States. (Pictured) Greta Thunberg,,
71,duckduckgo,Greta Thunberg,Greta Thunberg Quotes,https://www.quotes.net/authors/Greta+Thunberg,Greta Thunberg. Greta Thunberg (born 3 January 2003) is a Swedish climate activist. She is known for striking outside the Swedish parliament building to raise climate change activism. Update this biography » Complete biography of Greta Thunberg »,100,
72,duckduckgo,Greta Thunberg,Greta Thunberg: Five things Greta said during her US climate change ...,https://www.bbc.co.uk/newsround/49741995,Teenage climate activist Greta Thunberg has had some strong words for politicians in the United States. On Tuesday,,
73,duckduckgo,Greta Thunberg,My name is Matilda Olofsson and I am Greta Thunberg&#x27;s arch-nemesis ...,https://spectator.us/matilda-olofsson-greta-thunberg/,Greta Thunberg first came to my attention one Friday after I had spent the final hour of school putting cling-film over every toilet seat so that the following Monday,,
74,duckduckgo,Greta Thunberg,This Greta Thunberg thing is child abuse,https://www.washingtonexaminer.com/opinion/this-greta-thunberg-thing-is-child-abuse,Adolescent climate change protester Greta Thunberg has stage parents,,
75,duckduckgo,Greta Thunberg,Greta Thunberg,,,," they accept it as fact.""	100"
76,duckduckgo,Greta Thunberg,Greta Thunberg - SPIEGEL ONLINE,https://www.spiegel.de/thema/greta_thunberg/,Klimakämpferin: Greta Thunberg mit wichtigstem Amnesty-Preis ausgezeichnet SPIEGEL ONLINE - 17.09.2019. Eine Vorreiterin für den Klimaschutz ist sie bereits - nun darf sich Greta Thunberg auch Botschafterin des Gewissens nennen. Den dazugehörigen Preis erhielt sie von Amnesty International in den USA. mehr...,100,
77,duckduckgo,Greta Thunberg,Greta Thunberg: Climate change activist interviewed by The Daily Show&#x27;s ...,https://www.indy100.com/article/greta-thunberg-trevor-noah-climate-change-interview-watch-video-9106256,Climate change activist,,
78,duckduckgo,Greta Thunberg,Overleg:Greta Thunberg - Wikipedia,https://nl.wikipedia.org/wiki/Overleg:Greta_Thunberg,Greta Thunberg is in de pers vooral bekend om haar scherpe uitspraken. Het citeren daarvan heeft m.i. dan ook een uitgesproken informatieve waarde voor wp,,
79,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
80,duckduckgo,Greta Thunberg,Greta Thunberg Is Coming to Speak at the U.N. — by Sailboat,https://www.thecut.com/2019/07/greta-thunberg-sailboat-atlantic-ocean.html,— Greta Thunberg (@GretaThunberg) July 29,,
81,duckduckgo,Greta Thunberg,Greta Thunberg: &#x27;To do your best is no longer good enough&#x27;,https://www.gq-magazine.co.uk/men-of-the-year/article/greta-thunberg-interview,The story of Greta Thunberg,,
82,duckduckgo,Greta Thunberg,Krijgt Nederland zijn eigen Greta Thunberg? | Trouw,https://www.trouw.nl/duurzaamheid-natuur/krijgt-nederland-zijn-eigen-greta-thunberg~b6b1a8986/,Ben jij de Nederlandse Greta Thunberg? &quot;Nee,,
83,duckduckgo,Greta Thunberg,Greta Thunberg: Why I began the climate protests that are going global ...,https://www.newscientist.com/article/mg24132213-400-greta-thunberg-why-i-began-the-climate-protests-that-are-going-global/,The roots of this phenomenon run back to Greta Thunberg,,
84,duckduckgo,Greta Thunberg,Greta Thunberg - Startseite | Facebook,https://de-de.facebook.com/gretathunbergsweden/,Greta Thunberg. Gefällt 2.420.574 Mal · 875.256 Personen sprechen darüber. 16 year old climate and environmental activist with Asperger&#x27;s #fridaysforfuture,100,
85,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s Transatlantic Sailing Trip Is Seriously Carbon-Neutral ...,https://cleantechnica.com/2019/08/22/greta-thunbergs-transatlantic-sailing-trip-is-seriously-carbon-neutral/,UN Secretary-General António Guterres meets with Greta Thunberg,,
86,duckduckgo,Greta Thunberg,Greta Thunberg has collected funds for Antifa-supporting organisation ...,https://voiceofeurope.com/2019/07/greta-thunberg-has-collected-funds-for-antifa-supporting-organisation/,The Swedish climate oracle,,
87,duckduckgo,Greta Thunberg,The cult of Greta Thunberg | Watts Up With That?,https://wattsupwiththat.com/2019/04/22/the-cult-of-greta-thunberg/,Greta Thunberg in front of the Swedish parliament in Stockholm,,
88,duckduckgo,Greta Thunberg,Moeder Greta Thunberg: &quot;Mijn dochter kan CO2 met het blote oog zien ...,https://www.hln.be/nieuws/buitenland/moeder-greta-thunberg-mijn-dochter-kan-co2-met-het-blote-oog-zien~af3cfa15/,De 16-jarige Zweedse klimaatactiviste Greta Thunberg kan volgens haar moeder Malena Ernman (48) CO2 met het blote oog zien. Dat schrijft ze in het boek &#x27;Scènes uit het hart. Ons leven voor het klimaat&#x27;,,
89,duckduckgo,Greta Thunberg,Greta Thunberg to lead youth climate strike in 150 countries on Friday ...,https://www.vox.com/2019/9/17/20864740/greta-thunberg-youth-climate-strike-fridays-future,&quot;I look forward to welcoming young leaders like Greta Thunberg,,
90,duckduckgo,Greta Thunberg,How green is Greta Thunberg&#x27;s transatlantic trip? | UK News | Sky News,https://news.sky.com/story/greta-thunberg-is-her-transatlantic-trip-really-that-green-11784480,Greta Thunberg has set sail for New York,,
91,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
92,duckduckgo,Greta Thunberg,Greta Thunberg Covers British Vogue&#x27;s September 2019 Issue - vogue.co.uk,https://www.vogue.co.uk/article/greta-thunberg-vogue-september-2019-issue-cover,Her face,,
93,duckduckgo,Greta Thunberg,greta thunberg | De Volkskrant,https://www.volkskrant.nl/tag/greta-thunberg,Greta Thunberg heeft niet alleen de wetenschap,,
94,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
95,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s &#x27;zero-carbon&#x27; yacht trip won&#x27;t save ANY emissions as a ...,https://www.thesun.co.uk/news/9739595/greta-thunbergs-carbon-free-yacht-trip-flights/,GRETA Thunberg&#x27;s high-profile &quot;eco&quot; crossing of the Atlantic hit choppy waters tonight when it was revealed a crew will have to FLY to New York to bring her boat back. The Swedish climate activist,,
96,duckduckgo,Greta Thunberg,Greta Thunberg,,,,
97,duckduckgo,Greta Thunberg,Greta Thunberg nominated for Nobel Peace Prize for climate activism ...,https://www.bbc.com/news/world-europe-47568227,Greta Thunberg,,
98,duckduckgo,Greta Thunberg,Klimaatactiviste Greta Thunberg vindt ontmoeting met Trump ...,https://www.hln.be/nieuws/buitenland/klimaatactiviste-greta-thunberg-vindt-ontmoeting-met-trump-tijdverspilling~a6055848/,&#x27;Klimaatmeisje&#x27; Greta Thunberg zal vandaag met de zeilboot afreizen naar New York om een klimaatbijeenkomst van de Verenigde Naties bij te wonen. Hoewel ze daar met enkele wereldleiders hoopt te kunnen spreken,,
99,duckduckgo,Greta Thunberg,Marc Morano: Greta Thunberg spouts nonsense,,,,
