result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
0,google,Donald Trump,Home | Donald J. Trump for President,https://www.donaldjtrump.com/,Help continue our promise to Make America Great Again!,1120000000,n/a,n/a
1,google,Donald Trump,Donald Trump - Wikipedia,https://en.wikipedia.org/wiki/Donald_Trump,Donald John Trump (born June 14,,,
2,google,Donald Trump,Donald John Trump | TheHill,https://thehill.com/people/donald-trump,Candidate for President of the United States,,,
3,google,Donald Trump,Donald Trump - CNBC - CNBC.com,https://www.cnbc.com/donald-trump/,*U.S.- China trade talks set for Oct. 10-11 in Washington. Federal Reserve's September meeting,,,
4,google,Donald Trump,Donald Trump,https://www.huffpost.com/news/topic/donald-trump,Catch up on the latest news on Donald Trump. Including photos,,,
5,google,Donald Trump,Donald Trump news,,,,,
6,google,Donald Trump,Donald Trump - U.S. Presidency,,,,,
7,google,Donald Trump,Donald Trump: The Latest News,,,,,
8,google,Donald Trump,Donald Trump Fast Facts - CNN,https://www.cnn.com/2013/07/04/us/donald-trump-fast-facts/index.html,Read CNN's Donald Trump Fast Facts to learn more about the 45th president of the United States.,1120000000,4 days ago ,1570302533
9,google,Donald Trump,Donald Trump News & Videos - ABC News - ABC News,https://abcnews.go.com/alerts/donald-trump,Follow the latest Donald Trump news stories and headlines. Get breaking news alerts when you download the ABC News App and subscribe to Donald Trump ...,1120000000,n/a,n/a
10,google,Donald Trump,Trump,,,,,
11,google,Donald Trump,Donald Trump News – the latest from Al Jazeera,https://www.aljazeera.com/topics/people/donald-trump.html,Get Donald Trump's latest news from Al Jazeera. ... Trump administration official says 'staggering' number of migrants have been arriving to the US-Mexico ...,1120000000,n/a,n/a
12,google,Donald Trump,Donald J. Trump - Home | Facebook,https://www.facebook.com/DonaldTrump/,Donald J. Trump,,,
13,google,Donald Trump,Trump faces a new allegation of sexually assaulting a woman ...,https://www.vox.com/policy-and-politics/2019/10/9/20906567/trump-karen-johnson-sexual-assault-mar-a-lago-barry-levine-monique-el-faizy-book,Karen Johnson is at least the 23rd woman to accuse Trump of misconduct.,1120000000,1 hour ago ,1570644534
14,google,Donald Trump,Donald Trump - Newsweek,https://www.newsweek.com/topic/donald-trump,Donald John Trump is the 45th President of the United States.,1120000000,n/a,n/a
15,google,Donald Trump,Donald Trump: Latest News,,,,,
16,google,Donald Trump,President Trump (@POTUS) | Twitter,https://twitter.com/potus?lang=en,The latest Tweets from President Trump (@POTUS). 45th President of the United States of America,,,
17,google,Donald Trump,Donald Trump - Forbes,https://www.forbes.com/profile/donald-trump/,Donald Trump became the first billionaire president of the United States in January 2017. The core of his fortune is tied up in a half-dozen buildings in and ...,1120000000,n/a,n/a
18,google,Donald Trump,Live updates: The latest on the Trump impeachment inquiry ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-09-2019/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,1120000000,16 mins ago ,1570647175
19,google,Donald Trump,Donald Trump | PEOPLE.com,https://people.com/tag/donald-trump/,Trump Tried to Attack Biden Using a Nickelback Song,,,
20,google,Donald Trump,Donald Trump dismisses United Nations deficits,,,,,
21,google,Donald Trump,Biden calls for Trump's impeachment,,,,,
22,google,Donald Trump,Donald Trump - Latest News and Top Stories - NBC News,https://www.nbcnews.com/politics/donald-trump,Trump wins delay in New York court fight over producing his tax returns · Donald Trump · Forget Trump and Biden. For Ukraine,,,
23,google,Donald Trump,Donald Trump: Turkey invasion of Kurd-held are of Syria a ...,https://www.usatoday.com/story/news/politics/2019/10/09/donald-trump-turkey-invasion-kurd-held-syria-bad-idea/3920404002/,As Turkey began an invasion of northern Syria,,,
24,google,Donald Trump,All the President's Women Excerpt Alleges Donald Trump ...,https://www.esquire.com/news-politics/a29391247/donald-trump-assault-allegations-karen-johnson-all-the-presidents-women-book/,If you thought the Access Hollywood tape was the opening salvo in the story of Donald Trump's transgressions against women,,,
25,google,Donald Trump,Donald Trump News,,,,,
26,google,Donald Trump,Joe Biden calls for Trump to be impeached - CNNPolitics,https://www.cnn.com/2019/10/09/politics/joe-biden-trump-impeached/index.html,Former Vice President Joe Biden on Wednesday for the first time called for President Donald Trump's impeachment.,1120000000,30 mins ago ,1570646336
27,google,Donald Trump,The impeachment inquiry into President Donald Trump ...,https://www.cnn.com/politics/live-news/impeachment-inquiry-10-08-2019/index.html,The House is moving forward with its impeachment inquiry into President Donald Trump. Follow here for the latest.,1120000000,9 hours ago ,1570615736
28,google,Donald Trump,Donald Trump - AP News,https://www.apnews.com/DonaldTrump,WASHINGTON (AP) — The Latest developments following President Donald Trump's decision to abandon Syrian Kurdish fighters ahead of an expected Turkish ...,1120000000,n/a,n/a
29,google,Donald Trump,Donald J. Trump | The White House,https://www.whitehouse.gov/people/donald-j-trump/,Donald J. Trump is the 45th President of the United States. He believes the United States has incredible potential and will go on to exceed even its remarkable ...,1120000000,n/a,n/a
30,google,Donald Trump,Donald Trump | Fox News,https://www.foxnews.com/category/person/donald-trump,Donald Trump became the 45th president of the United States in January 2017. The real estate mogul and reality television star is the richest president in the ...,1120000000,n/a,n/a
31,google,Donald Trump,Donald Trump: news,,,,,
32,google,Donald Trump,Donald Trump - Ballotpedia,https://ballotpedia.org/Donald_Trump,Donald Trump is the 45th and current president of the United States. He assumed office on January 20,,,
33,google,Donald Trump,Donald J. Trump | The Trump Organization | Luxury Real ...,https://www.trump.com/leadership/donald-j-trump-biography,Donald J. Trump is the very definition of the American success story,,,
34,google,Donald Trump,The Trump Organization | Luxury Real Estate Portfolio,https://www.trump.com/,Shop · Trump Hotels · Trump Golf · Trump International Realty · Book Trump Golf · Trump Store · Terms of Service · Privacy Policy; Copyright © 2019 The Trump ...,1120000000,n/a,n/a
35,google,Donald Trump,donald trump - Chicago Tribune,https://www.chicagotribune.com/topic/donald-trump-topic.html,By Jorge Ramos. Sep 30,,,
36,google,Donald Trump,Donald Trump: Inside the White House With the President - Time,https://time.com/donald-trump-after-hours/,President Donald Trump spends his time after hours in the White House with a mix of cable television news,,,
37,google,Donald Trump,Donald Trump's longtime business connections in Turkey ...,https://www.nbcnews.com/politics/trump-impeachment-inquiry/donald-trump-s-longtime-business-connections-turkey-back-spotlight-n1064011,WASHINGTON — President Donald Trump's sudden decision to pull U.S. troops out of Northern Syria late Sunday night has drawn harsh ...,1120000000,3 hours ago ,1570637338
38,google,Donald Trump,Donald Trump | South China Morning Post,https://www.scmp.com/topics/donald-trump,Latest news on Donald Trump,,,
39,google,Donald Trump,Hive: Donald Trump News,,,,,
40,google,Donald Trump,Donald Trump | TheHill,https://thehill.com/person/donald-trump,Republicans are in a full-out revolt against President Trump over his decision to withdraw troops from northern Syria,,,
41,google,Donald Trump,Impeachment inquiry latest: White House won't cooperate with ...,https://www.cbsnews.com/live-news/trump-impeachment-inquiry-latest-white-house-wont-comply-2019-10-09/,"""Donald Trump has violated his oath of office",,,
42,google,Donald Trump,President Donald J. Trump - Home | Facebook,https://www.facebook.com/POTUS/,President Donald J. Trump. 2.8M likes. 45th President of the United States. Working on behalf of the American people to make our country great again....,1120000000,n/a,n/a
43,google,Donald Trump,Donald Trump's file | PolitiFact,https://www.politifact.com/personalities/donald-trump/,Donald Trump is the president of the United States. He was elected the 45th president of the United States on Nov. 8,,,
44,google,Donald Trump,Donald Trump - Vox,https://www.vox.com/donald-trump,Coverage of the 45th president of the United States,,,
45,google,Donald Trump,Bloomberg Billionaires Index - Donald Trump,https://www.bloomberg.com/billionaires/profiles/donald-j-trump/,View profiles for each of the world's 500 richest people,,,
46,google,Donald Trump,Donald Trump - Washington Examiner,https://www.washingtonexaminer.com/tag/donald-trump,Democrats invoke Nixon to build impeachment case against Trump ... UPDATED: Trey Gowdy has signed on to help Trump through impeachment inquiry: ...,1120000000,n/a,n/a
47,google,Donald Trump,donald trump - Baltimore Sun,https://www.baltimoresun.com/topic/donald-trump-PEBSL000163-topic.html,Democrats promulgate 'soft bigotry of low expectations'. The populist and virulently anti-American ideals that propelled Donald Trump to the presidency are ...,1120000000,n/a,n/a
48,google,Donald Trump,Donald Trump impeachment inquiry: What happened on ...,https://www.usatoday.com/story/news/politics/2019/10/08/donald-trump-impeachment-inquiry-rudy-giuliani-gordon-sondland-testify/3914217002/,The Democrats' impeachment inquiry of President Trump suffered a setback when the State Department blocked a key witness from going ...,1120000000,16 hours ago ,1570590539
49,google,Donald Trump,Donald Trump - Bio,,,,,
50,google,Donald Trump,Donald Trump : NPR,https://www.npr.org/tags/134949364/donald-trump,Jul-11,,,
51,google,Donald Trump,Donald Trump Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567754/donald-trump-3/,Donald Trump is one of the most influential people of 2019. Chris Christie writes about the president's summit with Kim Jong-Un.,1120000000,n/a,n/a
52,google,Donald Trump,Donald J Trump - YouTube,https://www.youtube.com/channel/UCAql2DyGU2un1Ei2nMYsqOA,This is the official YouTube Channel for Donald J. Trump.,1120000000,n/a,n/a
53,google,Donald Trump,Donald Trump - Pacific Standard,https://psmag.com/tag/donald-trump,Is a Conspiracy Theory Protected Speech? The FBI labeled conspiracy mongering a domestic terror threat. What does that mean for Donald Trump and others ...,1120000000,n/a,n/a
54,google,Donald Trump,The Definitive Net Worth Of Donald Trump - Forbes,https://www.forbes.com/donald-trump/,What's Donald Trump really worth? Forbes estimates his wealth based on his real estate holdings,,,
55,google,Donald Trump,Donald Trump's store - Donald J. Trump,https://shop.donaldjtrump.com/,The official Donald J. Trump Store has released a variety of brand new merchandise perfect for you and your MAGA-loving friends!,1120000000,n/a,n/a
56,google,Donald Trump,Donald Trump | US News,https://www.usnews.com/topics/people/donald_trump,Nearly Half Support Removing Trump. A new poll shows the public mood on impeachment has shifted with nearly half of Americans supporting removing Trump.,1120000000,n/a,n/a
57,google,Donald Trump,Donald Trump - Business Insider,https://www.businessinsider.com/category/donald-trump,The general who led the fight against ISIS says Trump's new policy 'breaks that trust' after years of hard fighting The general who led the fight against ISIS says ...,1120000000,n/a,n/a
58,google,Donald Trump,'Render to God and Trump': Ralph Reed calls for 2020 ...,https://www.politico.com/news/2019/10/09/ralph-reed-trump-book-040920,One of Donald Trump's most prominent Christian supporters will argue in a book due out before the 2020 general election that American ...,1120000000,10 hours ago ,1570612142
59,google,Donald Trump,Donald Trump | Complex,https://www.complex.com/tag/donald-trump,Stay tuned to Complex for new Donald Trump content daily.,1120000000,n/a,n/a
60,google,Donald Trump,Donald Trump news,,,,,
61,google,Donald Trump,Trump defies Democrats with all-out political warfare on ...,https://www.cnn.com/2019/10/09/politics/donald-trump-democrats-impeachment-nancy-pelosi/index.html,Donald Trump drove Democrats to the first crucial pivot point of their impeachment confrontation on Tuesday with a defiant declaration that his ...,1120000000,4 hours ago ,1570633742
62,google,Donald Trump,Ukraine dishonesty blitz: Trump made 66 false claims last ...,https://www.cnn.com/2019/10/09/politics/trump-october-fact-check-ukraine-whistleblower/index.html,Washington (CNN) President Donald Trump made 66 false claims last week,,,
63,google,Donald Trump,Even Republicans know that Trump can't do the job of president,https://www.cnn.com/2019/10/08/opinions/syria-kurds-republicans-filipovic/index.html,It's telling that Republicans are willing to criticize this President on an issue -- like the withdrawal of US troops from Syria and abandonment of ...,1120000000,3 hours ago ,1570637343
64,google,Donald Trump,Donald Trump,,,,,
65,google,Donald Trump,Donald Trump | New York Post,https://nypost.com/tag/donald-trump/,Get the latest news and breaking news on Donald Trump,,,
66,google,Donald Trump,Donald Trump: Latest News,,,,,
67,google,Donald Trump,Donald Trump | Page Six,https://pagesix.com/tag/donald-trump/,Get the latest donald trump news,,,
68,google,Donald Trump,Donald Trump - IMDb,https://www.imdb.com/name/nm0874339/,Donald Trump,,,
69,google,Donald Trump,First on CNN: Trump told Perry and State Department officials ...,https://www.cnn.com/2019/10/08/politics/trump-perry-giuliani-state-department/index.html,President Donald Trump directed Secretary of Energy Rick Perry and two top State Department officials to deal with his private attorney Rudy ...,1120000000,4 hours ago ,1570633744
70,google,Donald Trump,Donald Trump - RationalWiki,https://rationalwiki.org/wiki/Donald_Trump,"Donald John ""Cheeto Benito"" Trump",,,
71,google,Donald Trump,Donald Trump: Latest News,,,,,
72,google,Donald Trump,Unpaid bills pile up in Trump rallies' wake - POLITICO,https://www.politico.com/news/2019/10/08/trump-rallies-unpaid-bills-039631,President Donald Trump expects to hold one rally roughly every two weeks for the next several months as he embarks on a tough re-election ...,1120000000,21 hours ago ,1570572545
